Temps,Altitude,Vitesse verticale,Acceleration verticale,Vitesse totale,Acceleration totale,Position contre le vent,Position parallele au vent,Distance laterale,Direction laterale,Vitesse laterale,Acceleration laterale,Latitude,Longitude,Acceleration Gravitationnelle,Angle d'attaque,Taux de roulis,Taux de tangage,Taux d'embardee,Masse,Masse du propergol,Moment d'inertie longitudinale,Moment d'inertie rotatif,Emplacement du CP,Emplacement du CG,Calibres marge de stabilite,Mach number,Nombre de Reynolds,Poussee,Force de trainee,Coefficient de trainee,Coefficient de trainee axiale,Coefficient de trainee de friction,Coefficient de trainee de pression,Coefficient de trainee de base,Coefficient de force normale,Coefficient de moment de tangage,Coefficient de moment d'embardee ,Coefficient de force laterale ,Coefficient de moment de roulis ,Coefficient de forcage de roulis,Coefficient d'amortissement de roulis,Coefficient d'amortissement de tangage,Acceleration de Coriolis,Longueur de reference,Surface de reference,Orientation verticale ,Orientation laterale ,Vitesse de vent,Temperature de l'air,Pression atmospherique,Vitesse du son,Pas de simulation du temps,Temps de calcul 
0,0,0,-8.5109,0,8.5109,0,0,0,0,0,0,44.9,4.85,9.8042,90,0,0,0,34795,7079,33.107,0.41448,NaN,261.06,NaN,0.012515,986348,45,0,0.47634,0,0.29747,0.058853,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,22,380.13,90,0,NaN,24.225,948.34,345.98,0.01,2.548e-4
0.01,0,0,21.666,0,21.666,0,0,0,0,0,0,44.9,4.85,9.8042,90,0,0,0,34795,7079,33.107,0.41448,NaN,261.06,NaN,0.012674,998884,1095,0,0.4756,0,0.29673,0.058854,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,22,380.13,90,0,NaN,24.225,948.34,345.98,0.01,3.212e-4
0.02,0.0010834,0.21668,51.525,0.21668,51.525,0,0,0,0,0,0,44.9,4.85,9.8042,87.206,0,0,0,34792,7075.8,33.105,0.41447,NaN,261.05,NaN,0.012848,1012624,2133.8,5.61e-5,0.4748,1.3445e-4,0.29592,0.058854,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2385e-5,22,380.13,90,0,NaN,24.225,948.34,345.98,0.01,3.797e-4
0.03,0.005827,0.73207,53.482,0.73207,53.482,0,0,0,0,0,0,44.9,4.85,9.8042,80.75,0,0,0,34782,7066.4,33.097,0.41443,NaN,261.02,NaN,0.013163,1037447,2201.2,0.001985,0.47338,0.0045323,0.29451,0.058854,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.5627e-5,22,380.13,90,0,NaN,24.225,948.34,345.98,0.01,4.372e-4
0.04,0.015823,1.2671,55.446,1.2671,55.446,0,0,0,0,0,0,44.9,4.85,9.8042,74.439,0,0,0,34770,7053.9,33.088,0.41438,NaN,260.99,NaN,0.013652,1075930,2268.8,0.0093942,0.47128,0.019943,0.2924,0.058854,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.309e-4,22,380.13,90,0,NaN,24.225,948.34,345.98,0.01,5.228e-4
0.05,0.031266,1.8217,57.411,1.8217,57.411,0,0,0,0,0,0,44.9,4.85,9.8042,68.417,0,0,0,34757,7041.4,33.078,0.41433,NaN,260.96,NaN,0.014314,1128127,2336.2,0.025381,0.46857,0.04901,0.28969,0.058855,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.882e-4,22,380.13,90,0,NaN,24.225,948.34,345.98,0.01,5.847e-4
0.06,0.052355,2.396,58.514,2.396,58.514,0,0,0,0,0,0,44.9,4.85,9.8042,62.731,0,0,0,34745,7028.9,33.068,0.41428,NaN,260.93,NaN,0.015115,1191275,2373.8,0.05245,0.4655,0.090828,0.28662,0.058855,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4753e-4,22,380.13,90,0,NaN,24.225,948.34,345.98,0.01,6.429e-4
0.07,0.079242,2.9814,58.754,2.9814,58.754,0,0,0,0,0,0,44.9,4.85,9.8042,57.565,0,0,0,34732,7015.9,33.057,0.41423,NaN,260.9,NaN,0.016067,1266268,2381.2,0.091698,0.46213,0.14054,0.28324,0.058856,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0799e-4,22,380.13,90,0,NaN,24.225,948.34,345.98,0.01,7.002e-4
0.08,0.11199,3.5691,58.995,3.5691,58.995,0,0,0,0,0,0,44.9,4.85,9.8042,52.991,0,0,0,34719,7002.6,33.047,0.41417,NaN,260.86,NaN,0.017138,1350694,2388.8,0.14298,0.45862,0.19259,0.27973,0.058856,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6871e-4,22,380.13,90,0,NaN,24.224,948.33,345.98,0.01,7.589e-4
0.09,0.15064,4.1593,59.236,4.1593,59.236,0,0,0,0,0,0,44.9,4.85,9.8042,48.961,0,0,0,34705,6989.2,33.036,0.41412,NaN,260.83,NaN,0.01831,1443052,2396.2,0.20607,0.4551,0.24319,0.27619,0.058857,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2968e-4,22,380.13,90,0,NaN,24.224,948.33,345.98,0.01,8.174e-4
