Temps,Altitude,Vitesse verticale,Acceleration verticale,Vitesse totale,Acceleration totale,Position contre le vent,Position parallele au vent,Distance laterale,Direction laterale,Vitesse laterale,Acceleration laterale,Latitude,Longitude,Acceleration Gravitationnelle,Angle d'attaque,Taux de roulis,Taux de tangage,Taux d'embardee,Masse,Masse du propergol,Moment d'inertie longitudinale,Moment d'inertie rotatif,Emplacement du CP,Emplacement du CG,Calibres marge de stabilite,Mach number,Nombre de Reynolds,Poussee,Force de trainee,Coefficient de trainee,Coefficient de trainee axiale,Coefficient de trainee de friction,Coefficient de trainee de pression,Coefficient de trainee de base,Coefficient de force normale,Coefficient de moment de tangage,Coefficient de moment d'embardee ,Coefficient de force laterale ,Coefficient de moment de roulis ,Coefficient de forcage de roulis,Coefficient d'amortissement de roulis,Coefficient d'amortissement de tangage,Acceleration de Coriolis,Longueur de reference,Surface de reference,Orientation verticale ,Orientation laterale ,Vitesse de vent,Temperature de l'air,Pression atmospherique,Vitesse du son,Pas de simulation du temps,Temps de calcul 
0,0,0,-8.5127,0,8.5127,0,0,0,0,0,0,47.55,3.61,9.8059,0,0,0,0,34795,7079,33.107,0.41448,NaN,261.06,NaN,0,0,45,0,1.183,1.183,1.0042,0.05885,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,22,380.13,90,0,NaN,6.3014,972.66,335.12,0.01,2.869e-4
0.01,0,0,21.664,0,21.664,0,0,0,0,0,0,47.55,3.61,9.8059,0,0,0,0,34795,7079,33.107,0.41448,NaN,261.06,NaN,0,0,1095,0,1.183,1.183,1.0042,0.05885,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,22,380.13,90,0,NaN,6.3014,972.66,335.12,0.01,3.825e-4
0.02,0.0010833,0.21666,51.523,0.21666,51.523,0,0,0,0,0,0,47.55,3.61,9.8059,0,0,0,0,34792,7075.8,33.105,0.41447,NaN,261.05,NaN,6.4653e-4,56595,2133.8,8.2103e-4,0.7589,0.7589,0.58005,0.05885,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1328e-5,22,380.13,90,0,NaN,6.3014,972.66,335.12,0.01,4.691e-4
0.03,0.0058267,0.73203,53.48,0.73203,53.48,0,0,0,0,0,0,47.55,3.61,9.8059,0,0,0,0,34782,7066.4,33.097,0.41443,NaN,261.02,NaN,0.0021844,191213,2201.2,0.0074521,0.60342,0.60342,0.42457,0.05885,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.2058e-5,22,380.13,90,0,NaN,6.3014,972.66,335.12,0.01,5.538e-4
0.04,0.015822,1.267,55.444,1.267,55.444,0,0,0,0,0,0,47.55,3.61,9.8059,0,0,0,0,34770,7053.9,33.088,0.41438,NaN,260.99,NaN,0.0037808,330957,2268.8,0.020463,0.55311,0.55311,0.37426,0.05885,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2472e-4,22,380.13,90,0,NaN,6.3013,972.66,335.12,0.01,6.39e-4
0.05,0.031265,1.8217,57.409,1.8217,57.409,0,0,0,0,0,0,47.55,3.61,9.8059,0,0,0,0,34757,7041.4,33.078,0.41433,NaN,260.96,NaN,0.0054359,475831,2336.2,0.040118,0.52458,0.52458,0.34572,0.058851,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7932e-4,22,380.13,90,0,NaN,6.3013,972.66,335.12,0.01,7.324e-4
0.06,0.052353,2.3959,58.512,2.3959,58.512,0,0,0,0,0,0,47.55,3.61,9.8059,0,0,0,0,34745,7028.9,33.068,0.41428,NaN,260.93,NaN,0.0071495,625839,2373.8,0.06683,0.50515,0.50515,0.32629,0.058851,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3585e-4,22,380.13,90,0,NaN,6.3013,972.66,335.12,0.01,8.032e-4
0.07,0.079238,2.9813,58.752,2.9813,58.752,0,0,0,0,0,0,47.55,3.61,9.8059,0,0,0,0,34732,7015.9,33.057,0.41423,NaN,260.9,NaN,0.0088962,778730,2381.2,0.10053,0.49081,0.49081,0.31195,0.058852,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9346e-4,22,380.13,90,0,NaN,6.3012,972.66,335.12,0.01,0.0010338
0.08,0.11199,3.569,58.993,3.569,58.993,0,0,0,0,0,0,47.55,3.61,9.8059,0,0,0,0,34719,7002.6,33.047,0.41417,NaN,260.86,NaN,0.01065,932250,2388.8,0.14082,0.4797,0.4797,0.30083,0.058853,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5132e-4,22,380.13,90,0,NaN,6.3011,972.66,335.12,0.01,0.0010961
0.09,0.15063,4.1591,59.234,4.1591,59.234,0,0,0,0,0,0,47.55,3.61,9.8059,0,0,0,0,34705,6989.2,33.036,0.41412,NaN,260.83,NaN,0.012411,1086400,2396.2,0.18766,0.47072,0.47072,0.29184,0.058853,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0941e-4,22,380.13,90,0,NaN,6.3011,972.65,335.12,0.01,0.0011525
