Temps,Altitude,Vitesse verticale,Acceleration verticale,Vitesse totale,Acceleration totale,Position contre le vent,Position parallele au vent,Distance laterale,Direction laterale,Vitesse laterale,Acceleration laterale,Latitude,Longitude,Acceleration Gravitationnelle,Angle d'attaque,Taux de roulis,Taux de tangage,Taux d'embardee,Masse,Masse du propergol,Moment d'inertie longitudinale,Moment d'inertie rotatif,Emplacement du CP,Emplacement du CG,Calibres marge de stabilite,Mach number,Nombre de Reynolds,Poussee,Force de trainee,Coefficient de trainee,Coefficient de trainee axiale,Coefficient de trainee de friction,Coefficient de trainee de pression,Coefficient de trainee de base,Coefficient de force normale,Coefficient de moment de tangage,Coefficient de moment d'embardee ,Coefficient de force laterale ,Coefficient de moment de roulis ,Coefficient de forcage de roulis,Coefficient d'amortissement de roulis,Coefficient d'amortissement de tangage,Acceleration de Coriolis,Longueur de reference,Surface de reference,Orientation verticale ,Orientation laterale ,Vitesse de vent,Temperature de l'air,Pression atmospherique,Vitesse du son,Pas de simulation du temps,Temps de calcul 
0,0,0,-8.5149,0,8.5149,0,0,0,0,0,0,48.01,5.06,9.8082,90,0,0,0,34795,7079,33.107,0.41448,NaN,261.06,NaN,0.025419,2452378,45,0,0.4291,0,0.25015,0.058864,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,22,380.13,90,0,NaN,-7.5669,1004.1,326.71,0.01,4.094e-4
0.01,0,0,21.662,0,21.662,0,0,0,0,0,0,48.01,5.06,9.8082,90,0,0,0,34795,7079,33.107,0.41448,NaN,261.06,NaN,0.025574,2467265,1095,0,0.42882,0,0.24988,0.058864,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,22,380.13,90,0,NaN,-7.5669,1004.1,326.71,0.01,4.829e-4
0.02,0.0010832,0.21664,51.521,0.21664,51.521,0,0,0,0,0,0,48.01,5.06,9.8082,88.524,0,0,0,34792,7075.8,33.105,0.41447,NaN,261.05,NaN,0.025737,2482977,2133.8,3.2131e-5,0.42854,1.8154e-5,0.24959,0.058865,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1137e-5,22,380.13,90,0,NaN,-7.5669,1004.1,326.71,0.01,5.766e-4
0.03,0.0058262,0.73199,53.478,0.73199,53.478,0,0,0,0,0,0,48.01,5.06,9.8082,85.053,0,0,0,34782,7066.4,33.097,0.41443,NaN,261.02,NaN,0.025979,2506378,2201.2,0.0011862,0.42811,6.5775e-4,0.24916,0.058865,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.1419e-5,22,380.13,90,0,NaN,-7.5669,1004.1,326.71,0.01,6.369e-4
0.04,0.015821,1.267,55.442,1.267,55.442,0,0,0,0,0,0,48.01,5.06,9.8082,81.529,0,0,0,34770,7053.9,33.088,0.41438,NaN,260.99,NaN,0.026324,2539634,2268.8,0.0058728,0.42752,0.0031717,0.24856,0.058865,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2362e-4,22,380.13,90,0,NaN,-7.5669,1004.1,326.71,0.01,7.112e-4
0.05,0.031263,1.8216,57.407,1.8216,57.407,0,0,0,0,0,0,48.01,5.06,9.8082,77.983,0,0,0,34757,7041.4,33.078,0.41433,NaN,260.96,NaN,0.026778,2583430,2336.2,0.016627,0.42675,0.008678,0.24779,0.058866,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7773e-4,22,380.13,90,0,NaN,-7.567,1004.1,326.71,0.01,7.745e-4
0.06,0.05235,2.3958,58.51,2.3958,58.51,0,0,0,0,0,0,48.01,5.06,9.8082,73.943,0,0,0,34745,7028.9,33.068,0.41428,NaN,260.93,NaN,0.026512,2557738,2373.8,0.037078,0.4272,0.019742,0.24824,0.058865,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3376e-4,22,380.13,90,0,NaN,-7.567,1004.1,326.71,0.01,8.583e-4
0.07,0.079235,2.9811,58.751,2.9811,58.751,0,0,0,0,0,0,48.01,5.06,9.8082,69.773,0,0,0,34732,7015.9,33.057,0.41423,NaN,260.9,NaN,0.026391,2546107,2381.2,0.069708,0.42741,0.037456,0.24845,0.058865,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9087e-4,22,380.13,90,0,NaN,-7.5671,1004.1,326.71,0.01,9.583e-4
0.08,0.11198,3.5689,58.992,3.5689,58.992,0,0,0,0,0,0,48.01,5.06,9.8082,65.572,0,0,0,34719,7002.6,33.047,0.41417,NaN,260.86,NaN,0.026414,2548336,2388.8,0.11628,0.42737,0.062372,0.24841,0.058865,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4821e-4,22,380.13,90,0,NaN,-7.5672,1004.1,326.71,0.01,0.0010625
0.09,0.15062,4.159,59.232,4.159,59.232,0,0,0,0,0,0,48.01,5.06,9.8082,61.387,0,0,0,34705,6989.2,33.036,0.41412,NaN,260.83,NaN,0.026582,2564536,2396.2,0.17827,0.42708,0.094415,0.24812,0.058866,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0579e-4,22,380.13,90,0,NaN,-7.5673,1004.1,326.71,0.01,0.0011521
0.1,0.19518,4.7515,59.192,4.7515,59.192,0,0,0,0,0,0,48.01,5.06,9.8082,57.264,0,0,0,34692,6975.8,33.025,0.41406,NaN,260.79,NaN,0.026894,2594585,2394,0.25657,0.42656,0.13276,0.2476,0.058866,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.636e-4,22,380.13,90,0,NaN,-7.5674,1004.1,326.71,0.01,0.0012672
0.11,0.24565,5.3437,58.87,5.3437,58.87,0,0,0,0,0,0,48.01,5.06,9.8082,53.991,0,0,0,34679,6962.6,33.015,0.41401,NaN,260.76,NaN,0.02782,2683946,2382,0.34566,0.42505,0.16714,0.24609,0.058867,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.2137e-4,22,380.13,90,0,NaN,-7.5675,1004.1,326.71,0.01,0.0013424
0.12,0.30203,5.9326,58.547,5.9326,58.547,0,0,0,0,0,0,48.01,5.06,9.8082,50.954,0,0,0,34665,6949.5,33.004,0.41396,NaN,260.73,NaN,0.028825,2780884,2370,0.44803,0.42349,0.20181,0.24451,0.058868,0.12011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.7883e-4,22,380.13,90,0,NaN,-7.5677,1004.1,326.71,0.01,0.0014027
0.13,0.36429,6.5182,58.223,6.5182,58.223,0,0,0,0,0,0,48.01,5.06,9.8082,48.142,0,0,0,34652,6936.4,32.994,0.4139,NaN,260.69,NaN,0.029899,2884460,2358,0.56305,0.4219,0.23573,0.24291,0.05887,0.12012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3597e-4,22,380.13,90,0,NaN,-7.5678,1004.1,326.71,0.01,0.0014628
