Temps,Altitude,Vitesse verticale,Acceleration verticale,Vitesse totale,Acceleration totale,Position contre le vent,Position parallele au vent,Distance laterale,Direction laterale,Vitesse laterale,Acceleration laterale,Latitude,Longitude,Acceleration Gravitationnelle,Angle d'attaque,Taux de roulis,Taux de tangage,Taux d'embardee,Masse,Masse du propergol,Moment d'inertie longitudinale,Moment d'inertie rotatif,Emplacement du CP,Emplacement du CG,Calibres marge de stabilite,Mach number,Nombre de Reynolds,Poussee,Force de trainee,Coefficient de trainee,Coefficient de trainee axiale,Coefficient de trainee de friction,Coefficient de trainee de pression,Coefficient de trainee de base,Coefficient de force normale,Coefficient de moment de tangage,Coefficient de moment d'embardee ,Coefficient de force laterale ,Coefficient de moment de roulis ,Coefficient de forcage de roulis,Coefficient d'amortissement de roulis,Coefficient d'amortissement de tangage,Acceleration de Coriolis,Longueur de reference,Surface de reference,Orientation verticale ,Orientation laterale ,Vitesse de vent,Temperature de l'air,Pression atmospherique,Vitesse du son,Pas de simulation du temps,Temps de calcul 
0,0,0,-8.5103,0,8.5103,0,0,0,0,0,0,44.25,4.71,9.8036,90,0,0,0,34795,7079,33.107,0.41448,NaN,261.06,NaN,0.006068,536795,45,0,0.51582,0,0.33697,0.058851,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,22,380.13,90,0,NaN,2.448,965.59,332.78,0.01,5.052e-4
0.01,0,0,21.666,0,21.666,0,0,0,0,0,0,44.25,4.71,9.8036,90,0,0,0,34795,7079,33.107,0.41448,NaN,261.06,NaN,0.0060321,533617,1095,0,0.51625,0,0.33739,0.058851,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,22,380.13,90,0,NaN,2.448,965.59,332.78,0.01,6.001e-4
0.02,0.0010834,0.21669,51.526,0.21669,51.526,0,0,0,0,0,0,44.25,4.71,9.8036,83.802,0,0,0,34792,7075.8,33.105,0.41447,NaN,261.05,NaN,0.0060314,533557,2133.8,1.4376e-4,0.51625,0.0015382,0.3374,0.058851,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2637e-5,22,380.13,90,0,NaN,2.448,965.59,332.78,0.01,6.597e-4
0.03,0.0058271,0.73208,53.482,0.73208,53.482,0,0,0,0,0,0,44.25,4.71,9.8036,69.741,0,0,0,34782,7066.4,33.097,0.41443,NaN,261.02,NaN,0.0063532,562028,2201.2,0.0046779,0.51257,0.045111,0.33372,0.058851,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.6478e-5,22,380.13,90,0,NaN,2.448,965.59,332.78,0.01,7.776e-4
0.04,0.015823,1.2671,55.446,1.2671,55.446,0,0,0,0,0,0,44.25,4.71,9.8036,57.271,0,0,0,34770,7053.9,33.088,0.41438,NaN,260.99,NaN,0.0070424,622989,2268.8,0.020033,0.50546,0.15723,0.3266,0.058851,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3237e-4,22,380.13,90,0,NaN,2.448,965.59,332.78,0.01,8.53e-4
0.05,0.031267,1.8217,57.411,1.8217,57.411,0,0,0,0,0,0,44.25,4.71,9.8036,47.087,0,0,0,34757,7041.4,33.078,0.41433,NaN,260.96,NaN,0.0080399,711237,2336.2,0.048711,0.49664,0.29332,0.31778,0.058851,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9031e-4,22,380.13,90,0,NaN,2.4479,965.59,332.78,0.01,9.169e-4
0.06,0.052356,2.3961,58.513,2.3961,58.513,0,0,0,0,0,0,44.25,4.71,9.8036,39.26,0,0,0,34745,7028.9,33.068,0.41428,NaN,260.93,NaN,0.009299,822616,2373.8,0.0905,0.48736,0.40738,0.3085,0.058852,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5031e-4,22,380.13,90,0,NaN,2.4478,965.59,332.78,0.01,0.001005
0.07,0.079243,2.9814,58.753,2.9814,58.753,0,0,0,0,0,0,44.25,4.71,9.8036,33.283,0,0,0,34732,7015.9,33.057,0.41423,NaN,260.9,NaN,0.010717,948045,2381.2,0.14374,0.47869,0.48716,0.29983,0.058853,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1146e-4,22,380.13,90,0,NaN,2.4477,965.58,332.78,0.01,0.0010635
0.08,0.112,3.5691,58.994,3.5691,58.994,0,0,0,0,0,0,44.25,4.71,9.8036,28.724,0,0,0,34719,7002.6,33.047,0.41417,NaN,260.86,NaN,0.01223,1081902,2388.8,0.20618,0.47095,0.53656,0.29208,0.058853,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7286e-4,22,380.13,90,0,NaN,2.4476,965.58,332.78,0.01,0.0011508
0.09,0.15064,4.1593,59.234,4.1593,59.234,0,0,0,0,0,0,44.25,4.71,9.8036,25.173,0,0,0,34705,6989.2,33.036,0.41412,NaN,260.83,NaN,0.01381,1221666,2396.2,0.27656,0.4641,0.56444,0.28522,0.058854,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3451e-4,22,380.13,90,0,NaN,2.4474,965.58,332.78,0.01,0.0012378
