Temps,Altitude,Vitesse verticale,Acceleration verticale,Vitesse totale,Acceleration totale,Position contre le vent,Position parallele au vent,Distance laterale,Direction laterale,Vitesse laterale,Acceleration laterale,Latitude,Longitude,Acceleration Gravitationnelle,Angle d'attaque,Taux de roulis,Taux de tangage,Taux d'embardee,Masse,Masse du propergol,Moment d'inertie longitudinale,Moment d'inertie rotatif,Emplacement du CP,Emplacement du CG,Calibres marge de stabilite,Mach number,Nombre de Reynolds,Poussee,Force de trainee,Coefficient de trainee,Coefficient de trainee axiale,Coefficient de trainee de friction,Coefficient de trainee de pression,Coefficient de trainee de base,Coefficient de force normale,Coefficient de moment de tangage,Coefficient de moment d'embardee ,Coefficient de force laterale ,Coefficient de moment de roulis ,Coefficient de forcage de roulis,Coefficient d'amortissement de roulis,Coefficient d'amortissement de tangage,Acceleration de Coriolis,Longueur de reference,Surface de reference,Orientation verticale ,Orientation laterale ,Vitesse de vent,Temperature de l'air,Pression atmospherique,Vitesse du son,Pas de simulation du temps,Temps de calcul 
0,0,0,-8.5136,0,8.5136,0,0,0,0,0,0,46.3,6.24,9.8069,90,0,0,0,34795,7079,33.107,0.41448,NaN,261.06,NaN,0.03109,2351730,45,0,0.43106,0,0.25206,0.058871,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,22,380.13,90,0,NaN,33.138,945.17,351.38,0.01,2.591e-4
0.01,0,0,21.663,0,21.663,0,0,0,0,0,0,46.3,6.24,9.8069,90,0,0,0,34795,7079,33.107,0.41448,NaN,261.06,NaN,0.031217,2361316,1095,0,0.43087,0,0.25188,0.058871,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,22,380.13,90,0,NaN,33.138,945.17,351.38,0.01,3.736e-4
0.02,0.0010833,0.21666,51.522,0.21666,51.522,0,0,0,0,0,0,46.3,6.24,9.8069,88.873,0,0,0,34792,7075.8,33.105,0.41447,NaN,261.05,NaN,0.03135,2371361,2133.8,2.0193e-5,0.43068,8.1444e-6,0.25168,0.058872,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.183e-5,22,380.13,90,0,NaN,33.138,945.17,351.38,0.01,4.838e-4
0.03,0.0058265,0.73201,53.479,0.73201,53.479,0,0,0,0,0,0,46.3,6.24,9.8069,86.213,0,0,0,34782,7066.4,33.097,0.41443,NaN,261.02,NaN,0.031539,2385698,2201.2,7.5378e-4,0.4304,3.0038e-4,0.2514,0.058872,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.3758e-5,22,380.13,90,0,NaN,33.138,945.17,351.38,0.01,5.434e-4
0.04,0.015821,1.267,55.443,1.267,55.443,0,0,0,0,0,0,46.3,6.24,9.8069,83.49,0,0,0,34770,7053.9,33.088,0.41438,NaN,260.99,NaN,0.031802,2405585,2268.8,0.0037762,0.43003,0.00148,0.25102,0.058872,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2766e-4,22,380.13,90,0,NaN,33.138,945.17,351.38,0.01,6.639e-4
0.05,0.031264,1.8216,57.409,1.8216,57.409,0,0,0,0,0,0,46.3,6.24,9.8069,80.719,0,0,0,34757,7041.4,33.078,0.41433,NaN,260.96,NaN,0.032145,2431488,2336.2,0.010824,0.42954,0.0041525,0.25053,0.058873,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8355e-4,22,380.13,90,0,NaN,33.138,945.17,351.38,0.01,7.283e-4
0.06,0.052352,2.3959,58.512,2.3959,58.512,0,0,0,0,0,0,46.3,6.24,9.8069,77.9,0,0,0,34745,7028.9,33.068,0.41428,NaN,260.93,NaN,0.032529,2460569,2373.8,0.023746,0.429,0.0088955,0.24999,0.058873,0.12014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4141e-4,22,380.13,90,0,NaN,33.138,945.17,351.38,0.01,8.022e-4
0.07,0.079237,2.9812,58.753,2.9812,58.753,0,0,0,0,0,0,46.3,6.24,9.8069,75.101,0,0,0,34732,7015.9,33.057,0.41423,NaN,260.9,NaN,0.032998,2496067,2381.2,0.044056,0.42835,0.016038,0.24934,0.058874,0.12014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0039e-4,22,380.13,90,0,NaN,33.138,945.17,351.38,0.01,8.7e-4
0.08,0.11199,3.569,58.994,3.569,58.994,0,0,0,0,0,0,46.3,6.24,9.8069,72.376,0,0,0,34719,7002.6,33.047,0.41417,NaN,260.86,NaN,0.033546,2537505,2388.8,0.072751,0.42761,0.025626,0.24859,0.058875,0.12015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5961e-4,22,380.13,90,0,NaN,33.137,945.16,351.38,0.01,9.295e-4
0.09,0.15063,4.1591,59.236,4.1591,59.236,0,0,0,0,0,0,46.3,6.24,9.8069,69.732,0,0,0,34705,6989.2,33.036,0.41412,NaN,260.83,NaN,0.03417,2584672,2396.2,0.11077,0.42679,0.037605,0.24776,0.058876,0.12015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1907e-4,22,380.13,90,0,NaN,33.137,945.16,351.38,0.01,0.0010115
