Temps,Acceleration en x avec g,Acceleration en y avec g,Acceleration en z avec g,Angle phi,Angle theta,Angle psi,Accelerometre 1 x (en m/s2),Accelerometre 1 y (en m/s2),Accelerometre 1 z (en m/s2),Accelerometre 2 x (en m/s2),Accelerometre 2 y (en m/s2),Accelerometre 2 z (en m/s2),Accelerometre 3 x (en m/s2),Accelerometre 3 y (en m/s2),Accelerometre 3 z (en m/s2),Gyroscope 1 phi,Gyroscope 1 theta,Gyroscope 1 psi,Gyroscope 2 phi,Gyroscope 2 theta,Gyroscope 2 psi,Gyroscope 3 phi,Gyroscope 3 theta,Gyroscope 3 psi
0.0,0.5380458382683815,0.5228689921423793,0.9977033199474546,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.6704756876543472,0.33207567612303157,0.49954872332711814,0.670508797531546,0.3317657233955242,0.49969337580213724,0.6704988558366086,0.3319269935162267,0.499987843166844,0.5463271880232412,0.9982233167979795,0.49931494576249735,0.6704567110760369,0.9493692448818728,0.4901904456985584,0.41893313156759326,0.9710424297718347,0.49048998871144905
0.02,0.5380458382683815,0.5228689921423793,0.9977033199474546,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.6704757771648603,0.33213663552310024,0.4995942405319948,0.6704845257410547,0.3321846728483446,0.4992187759925489,0.6704641464936598,0.3323985624855922,0.49958468359710945,0.5716607549615489,0.998539126818957,0.4999053448216759,0.6482589918383503,0.9707978623392344,0.5014983013130235,0.8074866425489038,0.9882450660482675,0.5123289790085578
0.04,0.5380458382683815,0.5228689921423793,0.9977033199474546,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.6704814781085469,0.3321246069167288,0.499582223034293,0.6704629198310307,0.33198934465378394,0.49930071749928606,0.6705065494675522,0.3318168886900531,0.4993288403318398,0.5479870719416056,0.9983697726104337,0.49942824352015475,0.731864026822441,0.9746707021921397,0.48781941514988314,0.8008425312143768,0.9868836351122514,0.4919038080684468
0.06,0.5380458382683815,0.522868992166159,0.9977601877647395,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.6704791705596478,0.33209647472273673,0.4995782643626442,0.6705091041068056,0.33181432205644923,0.49995015062713155,0.6705025598852578,0.3322589900502427,0.4995966649526401,0.5399873849512389,0.9999860647482222,0.4998344834761759,0.3580587149179699,0.9454521456438866,0.49080405866831867,0.5248169512611263,0.9650459019270039,0.5133456062818534
0.08,0.5380458382683815,0.5228689923147775,0.9979450303980382,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.6704750980783806,0.332123871310532,0.4996097848643406,0.6705128212253297,0.3321500047080002,0.49991345299543577,0.6704860070110471,0.33242979337304956,0.4993328350369228,0.5451685939426838,0.9985793448920637,0.4998271263774228,0.6893460582203339,0.9578886866292087,0.5091867331538897,0.3627517651785457,0.9522721348725491,0.5094426444897017
0.1,0.5380458382683815,0.5228689927516897,0.9981512036784836,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.6704774988689063,0.332061276666251,0.4995337199422202,0.6704678372404573,0.3318720321230812,0.49950194586717345,0.6704970080138501,0.33188068145143224,0.49949916047813525,0.5538013853328607,0.9999288038140028,0.5002732249913366,0.2078322609044303,0.9836567830713134,0.49296239559414634,0.2269655916222355,0.9846615542454908,0.5088693225851973
0.12,0.5380458382683815,0.5228689937139808,0.9985121657275641,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.6538687228847563,0.33210829578389306,0.49957553658302273,0.6538856018152462,0.3322766729865094,0.499357671170779,0.653854428363606,0.33227459089743605,0.49926395705429016,0.544078257473636,0.9983087177542989,0.49935845117931155,0.499205947770891,0.9396066435431198,0.5002814683654643,0.1917178323768347,0.980468170197974,0.49869713721306
0.14,0.5380458382683815,0.5228689954802177,0.9988176394872389,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.6538651071121662,0.3320780529793767,0.49949927317821885,0.6538784895883283,0.3322306202137101,0.4992414862560755,0.6538737636956095,0.33229134874972177,0.49958905812303345,0.5516449985946821,0.9989152806387824,0.4997686539365628,0.8832421964317536,0.9410205468611772,0.49334663842627685,0.7871212380544588,1.0,0.49042801554247495
0.16,0.5380458382683815,0.522868998305957,0.9991235696727537,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.5998758549540942,0.3320868515465028,0.49951040533754165,0.5998775474487936,0.33238718043803883,0.49930797336431926,0.5998655766448371,0.3322465851421908,0.499317806835797,0.535713687910544,0.9986767012698932,0.49957655565470355,0.2213673367543656,0.958267025696964,0.5094191159490901,0.822328493057876,0.9614141105460796,0.5055776655826102
0.18,0.5380458382683815,0.5228690024419225,0.9994174761347361,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.5998702378617994,0.3321237489404919,0.4995645305708535,0.5998649319792356,0.3323043588004853,0.4998309511760785,0.5998860742763067,0.3322184914176407,0.4998036769356877,0.5448041069552261,0.9993920064068318,0.4998871385937723,0.5102724550526503,0.9593437253809678,0.4899295153009112,0.15589309496545312,0.9567047311930623,0.5085716773550287
0.2,0.5380458382683815,0.5228690081287651,0.9996993101837505,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.5396692689968772,0.33209542149673427,0.4995327788112091,0.5397069365734688,0.33195978735096787,0.5001092088829678,0.5396667113392996,0.33215790379948784,0.4993638874404879,0.5896753163648683,0.9999742668027656,0.5001815952907567,0.7123926797230116,0.9799162930410819,0.5080790700750548,0.4257409017160807,0.9725700473224749,0.503385250650582
0.22,0.5380458382683815,0.5228690154957327,0.9997267935597783,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.5396753496855982,0.3320385778178395,0.49949697937900084,0.5397075681103515,0.332068158538926,0.5001048369435909,0.5396776959442819,0.33200628947893174,0.4995351187376159,0.5260049500290336,0.9999367780042929,0.5000503199082816,0.241166826981134,0.9508655336215458,0.4838542137146958,0.5000626984582652,0.9565174600593005,0.5116442344602109
0.24,0.5380458382683815,0.5228690245655859,0.9997538136991351,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.4342354014341935,0.3320585396381785,0.49956300819646576,0.43423988048489987,0.33202400966107604,0.49960053355237044,0.4342327165152315,0.3320981011846952,0.4995842151895862,0.5326878128827843,0.9986878844839226,0.49967033293732127,0.6800020402454194,0.9913816389035024,0.5052523196542485,0.7294938619005187,0.9940896628549105,0.5035488796628609
