Temps,Acceleration en x avec g,Acceleration en y avec g,Acceleration en z avec g,Angle phi,Angle theta,Angle psi,Accelerometre 1 x (en m/s2),Accelerometre 1 y (en m/s2),Accelerometre 1 z (en m/s2),Accelerometre 2 x (en m/s2),Accelerometre 2 y (en m/s2),Accelerometre 2 z (en m/s2),Accelerometre 3 x (en m/s2),Accelerometre 3 y (en m/s2),Accelerometre 3 z (en m/s2),Gyroscope 1 phi,Gyroscope 1 theta,Gyroscope 1 psi,Gyroscope 2 phi,Gyroscope 2 theta,Gyroscope 2 psi,Gyroscope 3 phi,Gyroscope 3 theta,Gyroscope 3 psi
0.0,0.5380458382683815,0.5228689921423793,0.9977033199474546,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.6705174994285461,0.3322750285425102,0.49949142171565253,0.6705045911327148,0.3318826366925226,0.4989517242086632,0.6704771051134827,0.33203581934353527,0.4995069777391468,0.45970234111028674,0.9986200886480994,0.5029169174836488,0.6747254183075668,0.9761743178287565,0.5055887491096113,0.32912716076820914,0.99441395624631,0.4973465479474895
0.02,0.5380458382683815,0.5228689921423793,0.9977033199474546,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.6704806373843079,0.3322290481209643,0.4992578259921034,0.6704600511165363,0.3319212631446313,0.4995478849798261,0.6704779694646669,0.3320608983443779,0.4995333471014545,0.5114177262946598,0.9895888278816396,0.4994677688332697,0.5844902389004538,0.990249823606528,0.5020906609909747,0.40075981006511086,0.9906314630964139,0.49757049960176425
0.04,0.5380458382683815,0.5228689921423793,0.9977033199474546,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.6704846686144272,0.33185692966478403,0.4991685264886106,0.6705071013665048,0.33213840998437927,0.4990238552352494,0.6704859217310427,0.33216937618044123,0.49954858857313583,0.5618566394523654,0.9944544915228273,0.5035458291581526,0.3978049234346237,0.9847354335139666,0.5062843060408034,0.34152754768147275,0.996143092569997,0.49702618907596074
0.06,0.5380458382683815,0.522868992166159,0.9977601877647395,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.6705189879825141,0.3320922058425286,0.49940063473437746,0.6704936886488881,0.33220977629608156,0.4993525274919316,0.6704837955631616,0.3321916516922869,0.49963556756881805,0.6219323919507218,0.998593551010301,0.5016738351422646,0.5057353399116558,0.9833693299403197,0.5010580693227219,0.6357119761974062,0.9986001745166181,0.4980708377060102
0.08,0.5380458382683815,0.5228689923147775,0.9979450303980382,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.6705230079178751,0.33183824604052925,0.4997011601723596,0.6704604649123844,0.33216037992565184,0.4992509940140506,0.6704747994897768,0.33219288518890944,0.49956400042117394,0.3311302814027286,0.9988365983964165,0.5029837987069723,0.45135069671089667,0.9800087763492027,0.4960699387594213,0.6437973648462929,0.9943166120970559,0.4979602887058504
0.1,0.5380458382683815,0.5228689927516897,0.9981512036784836,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.6705100981297378,0.33188525196525814,0.4994121523807553,0.6704921889887603,0.3321771954106822,0.499755823333011,0.6704777870838864,0.3320327536453056,0.4995922744403231,0.6675835677314481,0.9996768584413132,0.49908863932241165,0.5423243726990847,0.9854086165697034,0.5049500258934821,0.5391078153206763,0.9955960563326409,0.49815735748559364
0.12,0.5380458382683815,0.5228689937139808,0.9985121657275641,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.6538823129549038,0.3320053344567482,0.4995798003210836,0.6539025206416729,0.332043629281307,0.49890972904305997,0.6538628778648007,0.3321323065703397,0.4996022231075774,0.6938117689023144,0.9898900302480155,0.5035246595365818,0.6736524701153819,0.9900999191724376,0.4980869021837593,0.6642055993613667,0.995004441068917,0.49786387233774265
0.14,0.5380458382683815,0.5228689954802177,0.9988176394872389,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.6538805398883545,0.3321312652896107,0.49919729454484485,0.6538857393403211,0.3322817419078195,0.49961676444277425,0.6538685687685108,0.332032248615925,0.4995743328801307,0.5137228967253193,0.9958259971231025,0.4994543830130417,0.6399392871782794,0.9935923701040636,0.5045347481387124,0.6882280306693858,0.9966321242523766,0.49979534448519586
0.16,0.5380458382683815,0.522868998305957,0.9991235696727537,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.5999116980506107,0.33170595713314976,0.49935254118966105,0.5998561170063007,0.331950681641341,0.49932317009867866,0.5998825236889714,0.3321760049831808,0.4996750499928021,0.47395412260151915,0.9957127873525042,0.5003912444687733,0.5480937665226762,0.9974815230538154,0.4994416347325357,0.40592759300943726,0.9932743965220316,0.49924244732165934
0.18,0.5380458382683815,0.5228690024419225,0.9994174761347361,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.599910739086679,0.3319189633980735,0.4996290188122528,0.5998973296754244,0.332149101368338,0.49948724051120386,0.5998806030067817,0.33212645882056546,0.4996270885009345,0.6351320455024165,0.9971500484767957,0.4995596055861166,0.8193839372309242,0.999806841968296,0.5054363041089929,0.45515745614076053,0.9983052225632892,0.49900953387218466
0.2,0.5380458382683815,0.5228690081287651,0.9996993101837505,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.5397064844952882,0.3320913807768706,0.49971215381281475,0.5397021483200453,0.33246970262549236,0.4995845813075121,0.5396692054939891,0.33216039082958665,0.49969380768426497,0.6619948399410163,0.989848300606924,0.501641783033111,0.25364184639017395,0.9837613475583007,0.5020667590514837,0.3333800809721481,0.9986062532532712,0.4973276221954128
0.22,0.5380458382683815,0.5228690154957327,0.9997267935597783,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.5397063495902327,0.33174298361786025,0.4993024728058668,0.539689542498031,0.33247094659900045,0.4990161061392524,0.5396777819624364,0.33209294472666245,0.4996352528574491,0.5426966295443592,0.99664090580727,0.5027346525968457,0.21583305342089432,0.9854211767234782,0.4998429427739538,0.5714975421214348,0.9912649373977276,0.5006451889005028
0.24,0.5380458382683815,0.5228690245655859,0.9997538136991351,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.43424817888689005,0.3316898628846096,0.4997873534468673,0.43425183607057466,0.33212024802376294,0.4989827929132573,0.4342270701429679,0.3321486111119901,0.49968615832065455,0.5575270313519667,0.995066714705459,0.4994791966491891,0.6430782011377474,0.9960902904260192,0.5025223049030717,0.6800176637823228,0.9905705337838455,0.49968586739167364
0.26,0.5380458382683815,0.5228690353609327,0.9997808803899548,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.43427180533564935,0.33188790514308514,0.4992842871978247,0.43426618634572045,0.33213100434388637,0.4996168770744595,0.4342394682214528,0.3321049077979667,0.49955240797345507,0.4795518227089559,0.9958868876413236,0.4993846678896991,0.5888936209613789,0.9875227241628173,0.5040606794726886,0.5413591769181139,0.9921864996271893,0.49994103893160363
0.28,0.5380458382683815,0.5228690479062635,0.9998124030476133,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.34508432613469425,0.33186237029404747,0.499841015093684,0.34504958994151247,0.3321510695016002,0.4995342750578837,0.3450697651288196,0.3320508640626336,0.4994852954957947,0.5982602087431914,0.9953360344341555,0.5008871266749988,0.5119655075495722,0.9958010574443954,0.4935129543552438,0.5496379177287665,0.9942122422594631,0.4976037184784793
0.3,0.5380458382683815,0.5228690622279587,0.9998439916003519,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.34508470279256964,0.3322228825371346,0.4996469387588833,0.3450469234166332,0.33213857543145203,0.4996270509915124,0.3450561117852106,0.3320868089973258,0.4996010740282842,0.5292416727443268,0.998265049645384,0.5034165903381786,0.5848437291832873,0.994548116858899,0.4933378013222523,0.665843686329076,0.993680422587017,0.49870000097220923
0.32,0.5380458382683815,0.522869078345708,0.9998595154285486,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.25577013363646506,0.3322269870114945,0.49990240324770413,0.2557530525435327,0.3324381268360525,0.4992902178109542,0.2557325959772152,0.33218083343196525,0.4996392878502395,0.46874286835345913,0.9993201412039414,0.4989622676805678,0.23205634461525904,0.9872958414629862,0.5066965415760958,0.39726624778233344,0.9961496749984879,0.4972284723170421
0.34,0.5380458382683815,0.5228690962724786,0.9998750176014135,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.25573006974548357,0.3320754729403191,0.49969350712017147,0.25574786233638874,0.3323413966981902,0.49902393471116924,0.2557417203047614,0.3322119387081596,0.4997166619903526,0.6827225207451662,0.9936031428694725,0.5025570824433904,0.2892803374867121,0.9695523878440739,0.49956873218816517,0.3442771721982396,0.9976007714907617,0.49977425664544484
0.36,0.5380458382683815,0.5228691160212413,0.9998905465986335,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.16992316824239762,0.3322478009227144,0.4994918392645489,0.16992278017824203,0.33258784630402927,0.4991200561777859,0.16992604846182224,0.3320495260302607,0.4996872798411313,0.7155523811671785,0.9893460176169346,0.49948832703895135,0.652616901287363,0.9870957263176106,0.5031908620133595,0.696591669361041,0.9903356673428056,0.4970302906199961
0.38,0.5380458382683815,0.5228691376049894,0.9999061024901272,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.16995921523398572,0.33218380402924913,0.49929039729529534,0.169915247835439,0.33211938748674,0.49922753424278327,0.16992334430205924,0.33203108536016135,0.4995449804390396,0.3278752826476534,0.9913417975320447,0.4993767952177946,0.5960073975913787,0.9719941972214676,0.5024697869383669,0.49890847022655294,0.9916743186486507,0.49926113388527155
0.4,0.5380458382683815,0.5228691610367387,0.9999216853460567,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.08767850242345487,0.33189925113657903,0.4991528861724947,0.087631762219051,0.33207402564776844,0.49898240750401796,0.08765024598914994,0.33214299029662725,0.49960443930811693,0.5445198477691022,0.9989749879052121,0.5008060461020973,0.2303698496508737,0.9994134367023224,0.49847221877940545,0.3297908413166297,0.9974916505583541,0.49695639514373224
0.42,0.5380458382683815,0.5228691863291572,0.9999364099638761,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.08763786231362358,0.3321708759352938,0.4998443289744674,0.08766350194218198,0.33181646843725465,0.49919647542114187,0.08764490873934294,0.33217628863546916,0.49965380829244743,0.43883815696332107,0.9915141268670814,0.5005193223503548,0.5553614897500871,0.971356034294673,0.49715756191630045,0.6825319317960066,0.9905193123555693,0.49824012883781443
0.44,0.5380458382683815,0.5228692134945635,0.9999511565953514,0.01889048873691701,1.0000000000000002,0.5002196952949908,0.07977269382569163,0.3323010724461792,0.4994466137562158,0.07978663209965364,0.33221178243261923,0.49915440482149503,0.07977608499248401,0.33215476299059565,0.4995255454355314,0.4981782201805913,0.998631522324527,0.50142861758235,0.6862907160161171,0.9798616354868324,0.5053201334336238,0.6186302922290352,0.9932076173184232,0.49781034786452505
