  ECMWF värden 2014050312 +120h
  latitud, longitud:  67.90  21.10
  Rutans höjd över havet:  442m
  
      z     p    t      td   ddd   ff
  73656     0  -89.5  -99.0   82  23.9
  71290     0  -72.1  -99.0   95  23.4
  68922     0  -61.0  -99.0  104  29.0
  66585     0  -49.0  -99.0  105  25.3
  64281     0  -37.8  -99.0  104  19.3
  62021     0  -28.5  -99.0  106  15.9
  59818     0  -20.1  -99.0  110  13.7
  57690     0  -15.9  -99.0  109  11.2
  55651     0  -12.4  -99.0  115   9.2
  53702     0   -9.9  -99.0  132   7.0
  51843     1   -9.0  -99.0  162   5.6
  50069     1   -6.2  -99.0  165   8.0
  48368     1   -4.3  -99.0  149  11.1
  46749     1   -5.5  -99.0  129  12.9
  45214     1   -6.8  -99.0  121  14.3
  43755     2   -7.4  -99.0   99  16.2
  42364     2   -7.6  -99.0   66  14.9
  41039     2   -9.1  -99.0   43  12.3
  39781     3  -11.6  -99.0   31   9.2
  38586     3  -13.9  -99.0   40   6.0
  37452     4  -16.7  -99.0   56   4.2
  36376     5  -19.6  -99.0   83   3.3
  35355     5  -23.2  -98.4  117   3.5
  34388     6  -27.5  -97.8  126   4.9
  33471     7  -30.2  -97.3  106   5.3
  32595     8  -31.3  -96.9   96   4.2
  31754     9  -32.7  -96.3  120   3.8
  30949    10  -34.9  -95.7  131   5.5
  30177    11  -36.2  -95.0  126   7.3
  29435    12  -37.1  -94.4  115   7.6
  28721    14  -38.4  -93.9  106   7.1
  28034    15  -40.0  -93.5  110   7.0
  27372    17  -40.5  -93.2  106   6.8
  26732    18  -41.2  -92.9  109   5.5
  26113    20  -41.6  -92.5  110   5.4
  25514    22  -42.4  -92.1  111   4.9
  24935    24  -43.3  -91.4  111   5.8
  24374    26  -44.1  -90.6   93   5.3
  23833    28  -45.9  -90.0   73   3.5
  23309    30  -46.7  -89.6   61   1.9
  22801    33  -47.0  -89.1   51   0.7
  22308    35  -47.7  -88.7   96   0.8
  21828    38  -48.3  -88.3   86   2.0
  21363    41  -48.5  -87.9   61   2.2
  20909    43  -48.9  -87.6   12   1.8
  20468    46  -49.4  -87.3  319   2.0
  20040    50  -49.7  -87.1  280   2.1
  19623    53  -50.0  -86.9  235   2.0
  19217    56  -50.0  -86.7  199   1.8
  18821    60  -49.9  -86.5  180   0.7
  18434    63  -50.0  -86.3  331   1.0
  18057    67  -50.3  -86.1  321   2.5
  17687    71  -50.7  -85.9  314   3.4
  17324    75  -51.2  -85.7  312   3.6
  16967    79  -51.7  -85.5  309   3.4
  16616    84  -52.1  -85.3  301   2.9
