Temps,Accelerometre 1 x (en m/s2),Accelerometre 1 y (en m/s2),Accelerometre 1 z (en m/s2),Gyroscope 1 phi,Gyroscope 1 theta,Gyroscope 1 psi,Gyrometre 1 phi,Gyrometre 1 theta,Gyrometre 1 psi,Magnetometre 1 F (en nT),Magnetometre 1 H (en nT),Magnetometre 1 X (en nT),Magnetometre 1 Y (en nT),Magnetometre 1 Z (en nT),Magnetometre 1 Declinaison (en deg),Magnetometre 1 Inclinaison (en deg),GPS 1 Latitude (en deg),GPS 1 Longitude (en deg),GPS 1 Altitude (en deg),
0.0,-9.756820297733253,-0.013380264598905086,1.3650573850120895,-2.992499705085696,1.4028388383824653,-0.005565187209983117,0.0010315711085099064,0.01366715778211379,-0.0191504019475371,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0,
0.02,-9.763043870889232,-0.022755047911733127,1.3602096226175775,-3.006952528395777,1.413636850073085,0.020777972088123254,-0.010074075574760259,-0.002583125081948329,-0.02303355280876379,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0,
0.04,-9.75014030849688,-0.0112922492301704,1.3564535693218716,-3.0583526173026763,1.4696436725398785,-0.006265877444387859,0.00022319629831962797,0.016657613298821535,0.006722349032827971,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0,
0.06,-9.763121951621107,-0.0113911744465693,1.3653763474615062,-3.0624909997548646,1.4413677045818278,-0.000994251263271087,-0.00655238549695547,0.005373756872050553,-0.025505889260006895,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0,
0.08,-9.756205969582554,-0.01293259328848265,1.360692290789107,-3.0477103560635084,1.4679766860140442,0.03420000674720672,0.03069176534303153,0.007220590850814759,0.026243874131038517,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0,
0.1,-9.755362882064906,-0.010928373751096097,1.3561347209798662,-2.9863993777935507,1.4679591510678325,0.018502958963264336,-0.010750709552064018,0.0010940126405106299,-0.013722436734803292,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0,
0.12,-12.839093732986818,-0.011577000885063523,1.369130835510328,-3.026755645893849,1.4382995952129864,0.010755446514797835,-0.024437798358464623,-0.02858704083122974,-0.0017143131127562515,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999923228,20.225129999930843,0.0006119845348831645,
0.14,-12.842020531299081,-0.017707562362042073,1.3623759701911797,-2.9789192173308523,1.4844289345013415,-0.0313417953915736,0.005215403819794069,-0.02140293037039202,0.01327277648909419,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999923228,20.225129999930843,0.0006119845348831645,
0.16,-22.89234760348003,-0.00909567236809562,1.3738165083191929,-3.0639925121458473,1.4662489011623623,0.05689575567207934,0.0054730159268400885,0.0179285055219134,-0.0027588846495142576,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999443363,20.225129999498577,0.004437154222442192,
0.18,-22.887897858131087,-0.016123959188542182,1.3647782781642464,-2.9861717435283928,1.4855711757162686,0.054371637151578917,-0.030409709031686778,0.025706190077142015,0.011785019184925577,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999443363,20.225129999498577,0.004437154222442192,
0.2,-34.08914622538837,-0.018039889597571798,1.3554209685287362,-3.019902599697748,1.3872739920171124,0.07471086512216493,-0.010505463992462131,0.015389177817430169,-0.031530198782772176,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.8557199803261,20.225129998227764,0.015682752196458816,
0.22,-34.09428931618841,-0.022144605344895478,1.363528499940756,-2.992746893414706,1.3829646998149827,-0.015850727523668545,0.005818450268082237,0.02159205883880598,0.025056520610399497,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.8557199803261,20.225129998227764,0.015682752196458816,
0.24,-53.707299394412715,-0.017576442811737616,1.3561513583731164,-3.0654639798595924,1.3908658776815523,-0.026992488226462722,-0.023907148871102017,-0.02225280377098885,0.025343849722791606,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571994925398,20.225129995428773,0.04045141619392746,
0.26,-53.695368050336945,-0.008324981644047533,1.3699209510253374,-2.978174816392691,1.3978461957357822,-0.030808400610663516,0.010839472403438917,0.004558057016985151,0.01025729264857443,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571994925398,20.225129995428773,0.04045141619392746,
0.28,-70.2947977002921,-0.007494836336817856,1.37197489565207,-3.0644364220543574,1.390562437332656,0.06735941529028054,-0.00174909503992763,-0.028929963513742864,-0.02968494894839453,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571989222265,20.225129990291364,0.08591306975712296,
0.3,-70.28023941990804,-0.017432146251124197,1.3697630838176063,-2.9975632200771907,1.4294525591692366,0.035105357333903464,0.02196125532361505,0.004548613760878297,0.030014723746769518,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571989222265,20.225129990291364,0.08591306975712296,
0.32,-86.90698781743518,-0.011253497618988544,1.3709507021790361,-3.055477036801135,1.3723600383645493,-0.013969783060426903,0.022522418900470367,-0.020699033036971397,0.0011288708092679679,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571980098221,20.22512998207238,0.15864399152401054,
0.34,-86.89759002195865,-0.019493818185157243,1.3599862020557054,-2.9951894379727104,1.3921665497303954,-0.008829421022537993,-0.01701451602745375,0.004117243766056943,0.03002556114666394,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571980098221,20.22512998207238,0.15864399152401054,
0.36,-102.86536847857124,-0.007357465567371522,1.3634454017802697,-3.0491163530139516,1.4651042357020214,0.07846940794968568,0.005953946291720333,0.02845219046583386,-0.011237708983274726,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571966743824,20.225129970042673,0.2650965398834325,
0.38,-102.87480416220446,-0.017689075536836577,1.3637101139457246,-2.956210793407536,1.38831933672892,0.004006853808167066,-0.0012166436492633773,-0.02567994028188839,0.018027484167492273,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571966743824,20.225129970042673,0.2650965398834325,
0.4,-118.18437168475211,-0.008443212838535006,1.3626737854710662,-2.9713357052819664,1.4218147015117384,0.07733358462722119,-0.015222554030585589,0.0008569969570878371,0.0030022929182060374,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571948382174,20.22512995350241,0.41146362485133836,
0.42,-118.16993393206695,-0.013714048162744914,1.370471013104673,-3.0344476385613186,1.3852307662597907,0.05883629969111202,-0.011874366486237782,-0.030168389343846812,0.02504980854585718,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571948382174,20.22512995350241,0.41146362485133836,
0.44,-119.6399139359742,-0.015439082677548493,1.3695682770490203,-3.0323363753483688,1.39812015962462,-0.018855413817219734,-0.0008093322320588058,-0.014531313703356646,0.02058811535339893,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571924596573,20.22512993207623,0.6010669102879435,
0.46,-119.63663312182881,-0.008838477183004493,1.3579171028016954,-2.991425404379604,1.4286676587853704,0.05265294519117277,0.0187748445519305,0.00949460249206026,-0.011842973148129675,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571924596573,20.22512993207623,0.6010669102879435,
0.48,-121.11291578688865,-0.020564819749334263,1.362453359453834,-2.9846752055624246,1.3945473995680475,0.06471799429797302,0.010718295992156979,0.022572421486708103,0.026946088415523872,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571895314158,20.225129905698484,0.8344872207345662,
0.5,-121.10247662255122,-0.01066642991907758,1.3740780841732603,-2.999369354516466,1.4474744773139978,0.08295438996813001,0.01531485940583251,0.030193991836002358,0.019438267383457306,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571895314158,20.225129905698484,0.8344872207345662,
0.52,-122.5842474479849,-0.02380557473670729,1.3686056787080911,-3.02050231561453,1.4382540306859226,0.017347057912441864,-0.006747080072168961,0.030661261793622187,0.018579324455392128,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571860461936,20.225129874303434,1.1123063812224139,
0.54,-122.58019165505141,-0.01204476276599225,1.3571447693837193,-3.030389583276676,1.377389979999298,0.011767827017884171,-0.02473220100208203,0.019377414804302436,0.022770699466944763,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571860461936,20.225129874303434,1.1123063812224139,
