Temps,Accelerometre 1 x (en m/s2),Accelerometre 1 y (en m/s2),Accelerometre 1 z (en m/s2),Gyroscope 1 phi,Gyroscope 1 theta,Gyroscope 1 psi,Gyrometre 1 phi,Gyrometre 1 theta,Gyrometre 1 psi,Magnetometre 1 F (en nT),Magnetometre 1 H (en nT),Magnetometre 1 X (en nT),Magnetometre 1 Y (en nT),Magnetometre 1 Z (en nT),Magnetometre 1 Declinaison (en deg),Magnetometre 1 Inclinaison (en deg),GPS 1 Latitude (en deg),GPS 1 Longitude (en deg),GPS 1 Altitude (en deg),
0.0,-9.701078691352102,0.02958831643741134,1.4286296185498406,-3.0649012291280635,1.421197577618491,-0.055033466051664856,0.028497995024965073,0.04023818440099313,0.011541768914248358,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0,
0.02,-9.701158100098695,0.02927671992358754,1.4271853675780868,-3.1150914493218584,1.4588375087197776,0.07282175159277408,0.03546496586767731,-0.021783960748172047,0.005715007625775787,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0,
0.04,-9.701125672524437,0.03012710169498842,1.4297167766539234,-2.9585695889765136,1.5328714453422843,-0.04783420962161393,0.04432748249647229,-0.037575736664524115,-0.04870368877558768,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0,
0.06,-9.700146176576132,0.03018823486736721,1.4279085655741293,-2.9997297289903693,1.4520319034980362,0.02570313079491792,-0.03192163741174055,0.030338223322683298,-0.039780543215359884,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0,
0.08,-9.700986638668725,0.031680010975521755,1.428777585977188,-3.029576840562077,1.432150179277421,0.0940397308399016,-0.010622062826236438,-0.006434916626121946,0.009816355825061001,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0,
0.1,-9.699706820037083,0.030609051430962823,1.42748977856091,-3.0535955129119072,1.5130400439190137,0.08071362443909125,-0.025254437538723765,0.025543504386030345,0.010460639282427117,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0,
0.12,-12.789241723137199,0.029654916284074323,1.4273841785233596,-3.015181212412795,1.4232429264241642,0.06236047562997221,0.030142088778043384,0.00495776834928579,-0.014305526032373877,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999923228,20.225129999930843,0.0006119845348831645,
0.14,-12.78925917673209,0.030265303497805224,1.4266286770051038,-3.111517837916881,1.5075043469692249,-0.028873408217795295,-0.04201586781811957,-0.044121509480673005,-0.005072644560779951,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999923228,20.225129999930843,0.0006119845348831645,
0.16,-22.83284083384915,0.031656870704697686,1.4299456056616693,-3.0282207160923225,1.38203877029912,-0.060001491915892935,0.03284826909413998,-0.0021566833505396936,-0.007471590388539672,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999443363,20.225129999498577,0.004437154222442192,
0.18,-22.83388981578602,0.03125584670885336,1.4286252485611648,-2.9812906003921174,1.4529289037642086,0.016201080737776274,-0.00855536176851088,0.039031865448869135,-0.04391134607159736,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999443363,20.225129999498577,0.004437154222442192,
0.2,-34.03325245954678,0.02852270539242526,1.4296028773493994,-3.0215759246757488,1.408980764354948,-0.0039968393858678675,0.039926936368495675,0.038549763453410296,-0.005932447268046664,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.8557199803261,20.225129998227764,0.015682752196458816,
0.22,-34.03245667572938,0.031806388772172116,1.4279107831666193,-3.0037343181512957,1.4481175207641641,-0.01791498657701929,0.01068375107315516,0.01903271133431183,0.009951676431797353,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.8557199803261,20.225129998227764,0.015682752196458816,
0.24,-53.647377042318254,0.028641589546070295,1.4288972104311928,-2.9803566378369193,1.5045134833971059,-0.04571986221093889,-0.04551553906155832,0.03406785354698671,0.035025553680397545,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571994925398,20.225129995428773,0.04045141619392746,
0.26,-53.64833595282027,0.03021766738706151,1.426503364591916,-3.0162377197545234,1.5269936611008699,-0.044985287630037646,0.009983150774650878,0.005100315194367282,-0.03874033407756694,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571994925398,20.225129995428773,0.04045141619392746,
0.28,-70.23699383456666,0.02991565929886608,1.4299590095446608,-2.9705917342754247,1.4007988239585951,-0.02224272579249106,-0.016168676631300522,0.005123365927390401,0.016161607736617907,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571989222265,20.225129990291364,0.08591306975712296,
0.3,-70.23710016154195,0.031262688489697585,1.4297097596510258,-3.1199373196534887,1.4344267820266978,0.0990968313340697,0.033111784186056904,-0.0015135521529423862,0.019821514003509785,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571989222265,20.225129990291364,0.08591306975712296,
0.32,-86.85108771695435,0.030219288466939248,1.4289976438649725,-3.044260694614869,1.5325493787221265,0.09966427957705368,-0.04804444112932752,-0.015428627403719374,0.028607236830581157,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571980098221,20.22512998207238,0.15864399152401054,
0.34,-86.85113605576208,0.03196854695715159,1.4297588368231582,-3.009912224086141,1.3914343469493304,0.0668448374432754,-0.004270614497353971,0.02210984838901961,0.033551061629772824,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571980098221,20.22512998207238,0.15864399152401054,
0.36,-102.81492166254226,0.03054606568487848,1.4293194842992067,-3.0446152418768437,1.5274690535385025,0.071026920525217,0.03628941575373933,-0.04318074540287791,-0.018193886292668004,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571966743824,20.225129970042673,0.2650965398834325,
0.38,-102.81612234166718,0.029017498337746108,1.4267592863588276,-3.087194982056406,1.5052358576938631,0.044081834787269125,-0.005330017788727608,-0.02093522093907573,-0.04260050230319647,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571966743824,20.225129970042673,0.2650965398834325,
0.4,-118.12207423476184,0.029892363019287962,1.426677810719334,-3.007437930937293,1.4752440833582345,-0.04341837432102101,-0.01254025088687391,0.03643440048721926,-0.009808792504102746,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571948382174,20.22512995350241,0.41146362485133836,
0.42,-118.12168536036674,0.02984752490872819,1.426684138780429,-3.0088870129731244,1.3861291616463065,-0.007376801881969,-0.032130392063374966,0.02859495115542227,0.033042402641937425,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571948382174,20.22512995350241,0.41146362485133836,
0.44,-119.58468911481168,0.0307213041467185,1.4277023979366052,-2.9998186172573402,1.3779177063890646,-0.04706284151340043,-0.025720393157057743,0.03380237786303591,0.02221019393657995,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571924596573,20.22512993207623,0.6010669102879435,
0.46,-119.58478238965152,0.029621612988070523,1.429484157086304,-3.0444778556233283,1.5112627056941415,0.0017720431132226284,-0.029569318839631032,-0.0354008690723193,0.013799503752106439,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571924596573,20.22512993207623,0.6010669102879435,
0.48,-121.05326855411447,0.028711711496067542,1.426655030161908,-3.039864683975955,1.3799808402188922,-0.0539758505044495,-0.032629249651759985,0.04842083823264232,0.0015909102367929924,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571895314158,20.225129905698484,0.8344872207345662,
0.5,-121.05300963251638,0.031848541256951315,1.4268214981880887,-2.9592340478820365,1.487731482960218,0.03417814766678656,-0.0172469847369093,0.002101971614523864,0.017423154946421937,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571895314158,20.225129905698484,0.8344872207345662,
0.52,-122.52362781536098,0.030684210656099064,1.4271053901335224,-2.996790043958608,1.377568019686571,0.003983110706196674,0.03152159907112384,0.0313136766916945,0.018144284322748852,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571860461936,20.225129874303434,1.1123063812224139,
0.54,-122.52498534967816,0.029743870187395636,1.429489626642443,-3.0789276816439095,1.4682788122917134,0.07314614024807126,0.023275490137711033,0.029217167747099555,-0.04752617205667471,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571860461936,20.225129874303434,1.1123063812224139,
0.56,-124.23821036912817,0.030888261130089432,1.4283575291012518,-3.1113430031514495,1.52268280603168,0.005820401942192965,0.1174024104798155,0.030275581035840368,0.00011370109410698513,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571819960829,20.225129837819843,1.435154775254336,
0.58,-124.23523909363414,0.03153818563965049,1.4293274213226639,-3.090807954095517,1.455406285966166,-4.5927561238973125e-06,0.26574910350998016,-0.014002444491841667,-0.01251098070286303,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571819960829,20.225129837819843,1.435154775254336,
0.6,-125.95045996352668,0.03138356621630284,1.429203798141325,-3.002447213315374,1.3679323222349422,0.014935231511486381,0.3679913128715578,-0.050424628793048036,-0.008451288543812028,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.85571773725653,20.22512979617097,1.8037114292248897,
0.62,-125.95383041232962,0.031592972705099705,1.4266827932133777,-3.094269038861615,1.4304388172108384,0.029786908663080577,0.48995851804284263,-0.08797335106614948,-0.02671590872963899,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.85571773725653,20.22512979617097,1.8037114292248897,
0.64,-126.79451469593052,0.03013566572511198,1.4275772966471922,-3.033946114962066,1.4011748264610593,0.06693048458825203,0.7487740667206767,-0.045045580188898454,0.0031513398464923584,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.85571721692894,20.225129749299608,2.218482621778931,
0.66,-126.79223586914345,0.030665053572648125,1.4264772075936811,-3.0342110956663366,1.3693307397353986,0.08045905482531308,0.8219070046233868,-0.09167824521426148,0.057372250160437614,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.85571721692894,20.225129749299608,2.218482621778931,
0.68,-127.63316319037126,0.029970911818544665,1.4297431457212286,-3.079491049065244,1.376233495898577,0.013896371062830346,1.0147836358025395,-0.13134654188743913,-0.0008775746031708317,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.8557166382075,20.2251296971681,2.679801587126146,
0.7,-127.63388869084837,0.030141756891116825,1.4279475945653688,-3.11599126262097,1.3771201459245241,0.006343710459637811,1.2264874826993528,-0.15299194729399127,0.010816531265552244,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.8557166382075,20.2251296971681,2.679801587126146,
0.72,-128.4795656833883,0.030701066789961703,1.4299754983134765,-3.0589218294156146,1.3749404204179498,-0.00706217166621553,1.3605099438144854,-0.19807546311451357,0.02764948862808548,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.85571600067343,20.225129639738725,3.1880021360126745,
0.74,-128.47930055448887,0.029183959244421485,1.4293958295020912,-3.0994206815196987,1.4747896062350327,0.05497804651859979,1.5063515842082174,-0.16706459834442924,0.0636439327757563,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.85571600067343,20.225129639738725,3.1880021360126745,
0.76,-129.3235930424957,0.02969349932518493,1.4299317387283117,-3.086454279867386,1.4805911055599275,0.07908676658982824,1.7257729780139333,-0.18136341461426336,0.14358359428529832,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.85571530390725,20.22512957697369,3.7434186572237778,
