Temps,Accelerometre 1 x (en m/s2),Accelerometre 1 y (en m/s2),Accelerometre 1 z (en m/s2),Gyroscope 1 phi,Gyroscope 1 theta,Gyroscope 1 psi,Gyrometre 1 phi,Gyrometre 1 theta,Gyrometre 1 psi,Magnetometre 1 F (en nT),Magnetometre 1 H (en nT),Magnetometre 1 X (en nT),Magnetometre 1 Y (en nT),Magnetometre 1 Z (en nT),Magnetometre 1 Declinaison (en deg),Magnetometre 1 Inclinaison (en deg),GPS 1 Latitude (en deg),GPS 1 Longitude (en deg),GPS 1 Altitude (en deg),
0.0,-9.726991833329015,-0.00038594689259637514,1.3101018958161887,-2.9962140141716676,1.3904266468192434,0.05923398151724098,0.00334540166307485,0.0016373463767887307,-0.007845178618131653,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0,
0.02,-9.714689657172496,-0.006721094619646321,1.3140827773927048,-3.106685689962037,1.4233696003832654,0.04488442096976679,-0.0054928359313948195,-0.005990486591250356,0.0027229678798220236,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0,
0.04,-9.726929219260363,0.002219127031916365,1.3060586954567621,-2.996339264671665,1.440477522196145,0.05513264828100796,0.0064302963924839284,0.005498709204594782,0.004767379304876126,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0,
0.06,-9.714616681857505,-0.0009670926206651414,1.306900195531101,-3.1034328050473206,1.4222432351470164,0.03020892472769387,0.0009254413244030799,-0.006190548409928954,-0.007382942801508014,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0,
0.08,-9.726670094819596,-0.000317965767710782,1.3157584160185718,-2.992887824379567,1.3408828862020976,-0.027996344659794947,-0.006062710133494882,-0.0011356391254487442,0.0004712011169097641,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0,
0.1,-9.72387274624629,-0.010347580798713264,1.3060041583012572,-3.032613667853323,1.3593084774906015,-0.07062881408822805,-0.006131707841081979,-0.0006684468881988962,-0.004936674943504808,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0,
0.12,-12.81418433618838,-0.002919327535779029,1.3083210316588998,-2.9702264649705503,1.4194953360302072,-0.0015351921692103275,-0.0011484367374703195,-0.007862604529603854,0.005491181452047065,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999923228,20.225129999930843,0.0006119845348831645,
0.14,-12.804480404337829,-0.010531145054970627,1.304230198853705,-3.059491122780395,1.3866092527080485,-0.09466455639155796,-0.004874400058268007,-0.007547163182676849,0.0015442995193027044,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999923228,20.225129999930843,0.0006119845348831645,
0.16,-22.85825708329547,-0.010005301216907698,1.305208022682252,-3.0720434169836417,1.3748360395309573,0.05406976621913143,0.0007994349056741593,0.0020633354630796006,0.0001708296568733455,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999443363,20.225129999498577,0.004437154222442192,
0.18,-22.858099035212106,-8.812856469940684e-05,1.3131753028075264,-3.0474521057280586,1.3443783999767218,0.058640614270455235,0.003325501718596665,-0.00567357190476051,-0.008118438525988928,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999443363,20.225129999498577,0.004437154222442192,
0.2,-34.05128337324963,-0.010065425672679856,1.3054295985174045,-2.9831749074820255,1.4565307219019519,-0.10183433354114402,-0.0015985645176877518,-0.0003245420347927353,0.0003362019504662334,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.8557199803261,20.225129998227764,0.015682752196458816,
0.22,-34.05260763422326,0.0019472899452395512,1.3039647065131428,-3.094798198307716,1.395013970076783,0.01496017555737942,-0.0043750981883946055,0.007351724921936208,0.0007340731243161473,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.8557199803261,20.225129998227764,0.015682752196458816,
0.24,-53.66822751700693,-0.002916681330698086,1.3041485168775393,-3.0622292488157106,1.450659721536627,0.02090464254344683,-0.0028396770252063592,-0.0003596177928570518,-0.0015883479764384274,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571994925398,20.225129995428773,0.04045141619392746,
0.26,-53.66584886174678,-4.9874033111455517e-05,1.3036371236787985,-3.09989957845988,1.3935036476321514,-0.01911539403670891,0.00826716943375466,-0.005075288022336672,0.007090862722421234,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571994925398,20.225129995428773,0.04045141619392746,
0.28,-70.25201227756361,-0.00489558319815815,1.3037615953877177,-3.0597306924933627,1.4599733102700532,0.006683690930107695,0.0007122322486791695,0.004513247478198455,-0.0016008541108906954,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571989222265,20.225129990291364,0.08591306975712296,
0.3,-70.25481194139884,-0.003847542752698004,1.3078913218613317,-2.963402369797331,1.461389672433197,-0.009678143769668641,0.0023964775205701314,0.005562843935971163,-0.005717814475516597,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571989222265,20.225129990291364,0.08591306975712296,
0.32,-86.87480208226253,-0.0006357130046392057,1.3055706623974048,-3.0166532233030634,1.476229931180305,-0.08541509209800219,0.005453413208200351,-0.00020514320938433295,-0.002504737125716404,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571980098221,20.22512998207238,0.15864399152401054,
0.34,-86.87415933998857,-0.005287656868132154,1.3080779248870666,-3.058933276833512,1.3487476941908254,0.023442305891277056,-0.006131432083469149,0.008291808253090553,0.006794854278638355,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571980098221,20.22512998207238,0.15864399152401054,
0.36,-102.84060206426676,-0.009736990589338811,1.3152982954992836,-3.0556201068618307,1.5114795352544892,-0.064594829055542,0.00439509732993251,-0.007874307655675913,-0.006122599274125025,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571966743824,20.225129970042673,0.2650965398834325,
0.38,-102.84021539869107,-0.0043058641082622615,1.312308763916624,-3.121291265420117,1.5076635767139708,-0.05117540361373303,-0.0016754009226562173,-0.0022998001466364684,-0.007354809583473873,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571966743824,20.225129970042673,0.2650965398834325,
0.4,-118.14490851082681,-0.008941009468338784,1.3117330937873548,-2.9732346595083605,1.4895054804249064,-0.08378186838119664,0.0056304733255943245,-0.004666906999110277,0.003509174444151106,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571948382174,20.22512995350241,0.41146362485133836,
0.42,-118.14398436445526,-0.007392881903066008,1.3150133068231429,-3.099292940354922,1.4062206559738817,-0.09201141897733175,0.002071877589909562,-0.006118717011820167,-0.0036475292230187272,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571948382174,20.22512995350241,0.41146362485133836,
0.44,-119.60267932724047,-0.001147220095213839,1.3160148525902573,-3.117546079340787,1.418409799380087,0.05934098173418516,0.0077347788251010624,-0.0016695521017377462,0.004798551087505704,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571924596573,20.22512993207623,0.6010669102879435,
0.46,-119.6081694703415,-0.005779714907523532,1.3102994009378608,-2.990601397857662,1.3496318362338504,0.053906881295854164,0.005362325813665386,0.0018063867663852553,0.004074291918789582,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571924596573,20.22512993207623,0.6010669102879435,
0.48,-121.07974174476207,-0.007551607602284153,1.3100023400576812,-2.9651074821228756,1.3512257420657985,-0.08238526540535024,0.008260200729635297,0.0003587562317468293,-0.0018321426426203826,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571895314158,20.225129905698484,0.8344872207345662,
0.5,-121.0758598942625,-0.00029612459806687905,1.306669068117488,-2.9748536059745367,1.3914302090326562,-0.05549466033045842,-0.0034740365435093723,0.008228994146494606,-0.0030104206264641034,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571895314158,20.225129905698484,0.8344872207345662,
0.52,-122.54504563387006,-0.006933563820302725,1.3054136188674896,-3.019172325839084,1.3533790633765244,-0.003755934994478287,0.005587689874016042,0.0007560150061663557,0.006029458414982082,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571860461936,20.225129874303434,1.1123063812224139,
0.54,-122.54184852200534,-0.0039026388762352566,1.30703375601081,-3.1189656898487974,1.3400424108486269,-0.10256044472176266,-0.006149802126896467,-0.0025588145864221174,-0.001227540450322774,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571860461936,20.225129874303434,1.1123063812224139,
0.56,-124.26253053705996,0.00035988143517467607,1.3056246899842099,-3.086223227354185,1.3992230996264827,-0.07502321729584419,0.00703930349131074,-0.007228499967292232,-0.003288065498804445,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571819960829,20.225129837819843,1.435154775254336,
0.58,-124.2549270380321,-0.004513740262620821,1.3070395285229104,-3.057689227157421,1.377117697980763,0.01838836969023514,0.0038515674541148115,-0.0007457233820357806,0.00813445606901521,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571819960829,20.225129837819843,1.435154775254336,
0.6,-125.96894148236684,-0.00012556232942209904,1.3066154207076057,-3.0399963018085128,1.4768695863051724,-0.039850132205432404,0.002902462912369661,-0.006906036769250119,-0.004167877132047574,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.85571773725653,20.22512979617097,1.8037114292248897,
0.62,-125.97832575166895,-0.004729576556131565,1.307851785088915,-3.0256580305827088,1.4310738158245835,0.009238862420415484,0.07951926878158035,-0.01323914429420828,-0.00434944829533834,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.85571773725653,20.22512979617097,1.8037114292248897,
0.64,-126.81237654254463,-0.00895113347686537,1.3156562704455415,-3.1035152582696988,1.5003818099892807,-0.022058656389756435,0.24495354637590128,-0.03326318576787393,0.012557539534387032,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.85571721692894,20.225129749299608,2.218482621778931,
0.66,-126.81563147172444,0.002158817715911844,1.3154300098691003,-3.0389080062043177,1.4644132589971555,-0.0358961895231162,0.42972152735487323,-0.05346218788978092,0.008166204277757862,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.85571721692894,20.225129749299608,2.218482621778931,
0.68,-127.65260628174511,-0.001927154444954724,1.313748627042501,-3.070252516340129,1.486636636954846,0.045465786183729234,0.6032036659920045,-0.07480371468047597,0.018457699557136262,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.8557166382075,20.2251296971681,2.679801587126146,
0.7,-127.65418509605314,-0.0024845957736911134,1.3116986105219186,-2.973557428358426,1.4510543675477257,0.03971386940189846,0.777427679929539,-0.09544863522634418,0.03605374546571548,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.8557166382075,20.2251296971681,2.679801587126146,
0.72,-128.50081094350423,0.0020756231257323477,1.304834677506573,-2.991769144346705,1.5031496349753501,-0.011916989942606959,0.961162252959159,-0.12686902816260806,0.04814329482596447,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.85571600067343,20.225129639738725,3.1880021360126745,
