Temps,Accelerometre 1 x (en m/s2),Accelerometre 1 y (en m/s2),Accelerometre 1 z (en m/s2),Gyroscope 1 phi,Gyroscope 1 theta,Gyroscope 1 psi,Gyrometre 1 phi,Gyrometre 1 theta,Gyrometre 1 psi,Magnetometre 1 F (en nT),Magnetometre 1 H (en nT),Magnetometre 1 X (en nT),Magnetometre 1 Y (en nT),Magnetometre 1 Z (en nT),Magnetometre 1 Declinaison (en deg),Magnetometre 1 Inclinaison (en deg),GPS 1 Latitude (en deg),GPS 1 Longitude (en deg),GPS 1 Altitude (en deg),
0.0,-9.730015920611633,0.017585271365550336,1.3120860512113517,-3.0418060539598346,1.4781733052142785,-0.0032614389016722657,0.04524020685323322,-0.023036907081690358,0.04541795211065721,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0,
0.02,-9.729995889948146,0.017284205138582608,1.3123264578740945,-3.005143149862585,1.3858108346588316,-0.04027672491582248,-0.04677921075600072,0.0521571703210416,-0.01635724373597625,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0,
0.04,-9.730361174812076,0.017268457426833615,1.3123821566705114,-2.9559610781748593,1.449110152971606,0.007865371243955335,-0.026523386947414778,-0.03581890699213757,-0.0452042127816544,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0,
0.06,-9.7297905243366,0.017772129389568257,1.3116758290543347,-3.0314428091093597,1.4556153532772567,0.02295195798917822,-0.04086917032930955,-0.027722204857678394,0.02387099691829695,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0,
0.08,-9.730419124843198,0.01772767459965044,1.312139620610771,-2.9959917081277,1.4644795510272428,-0.03199220797429858,0.004941855181641427,0.043905312516366556,-0.04090476977387445,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0,
0.1,-9.729719609897913,0.01742723830123772,1.3125613364035693,-2.9681568567228815,1.4777856655384936,-0.0016156917206396363,-0.05116345918984265,0.010515612695468855,0.016340397268417902,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0,
0.12,-12.820451438652695,0.017346273894357025,1.311958780696056,-3.0199174902609323,1.4623196232850633,-0.04335174822303377,-0.03234299557144422,-0.028037172497712818,0.042388156675811174,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999923228,20.225129999930843,0.0006119845348831645,
0.14,-12.81968451777223,0.017492963655666896,1.3124397805700188,-2.9806819303743883,1.422065412801392,0.03777792750818492,0.0039531762629130785,-0.03746223847430275,-0.051883626575782514,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999923228,20.225129999930843,0.0006119845348831645,
0.16,-22.86423355492812,0.017980026336942546,1.3125269837795654,-2.9648019377885406,1.4119328839313054,0.04995660314780292,0.030538931446234843,-0.04977060961228512,0.030709991869900366,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999443363,20.225129999498577,0.004437154222442192,
0.18,-22.86350408612183,0.017847815419346536,1.3120847686317223,-2.9916661191625127,1.412392951436096,0.033767160416461675,-0.018121421952778657,-0.03962069237906096,0.017811871745979042,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999443363,20.225129999498577,0.004437154222442192,
0.2,-34.062916205219764,0.017857770715254673,1.3119691003850864,-3.005032555094641,1.4422213515434983,-0.023759339364430396,-0.03212055541343703,0.0009137766779457785,-0.0413212210029151,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.8557199803261,20.225129998227764,0.015682752196458816,
0.22,-34.06327389978336,0.017958280308800652,1.3124792841857882,-2.9627367538414293,1.4299179308331138,-0.03849902926346607,-0.007885685188707173,-0.012767989983118943,0.003223952871790816,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.8557199803261,20.225129998227764,0.015682752196458816,
0.24,-53.677033057267074,0.01717867212948118,1.312414730173234,-2.967007765273569,1.3847206719356409,0.008965719750738663,0.04432511439674933,-0.04439559097282754,-0.025612908354597876,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571994925398,20.225129995428773,0.04045141619392746,
0.26,-53.67710128536525,0.017827954565291786,1.3119608399459113,-3.032760960532833,1.4311876051783425,-0.009966423315284325,-0.03335081511745612,-0.04273309902233964,0.04908208871311601,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571994925398,20.225129995428773,0.04045141619392746,
0.28,-70.2652001021319,0.01799490158207124,1.3125693403161611,-3.0206309446033566,1.4258757509971187,-0.00037849035063342723,0.0029009109082498365,0.04265978020769622,0.006698235766444608,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571989222265,20.225129990291364,0.08591306975712296,
0.3,-70.26457989570541,0.017781706233233628,1.3122565463779816,-3.045906161147158,1.4443064541677706,-0.012527709754796522,0.04368126082751429,0.028845757575963568,-0.03678089495220897,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571989222265,20.225129990291364,0.08591306975712296,
0.32,-86.8818070223619,0.01735361709417355,1.312231301429947,-3.00595670722901,1.430937434881987,0.05102538361611706,-0.002377725972798095,0.004035864935373862,-0.019814919358888444,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571980098221,20.22512998207238,0.15864399152401054,
0.34,-86.88163233749071,0.01799814719125033,1.3118573261235729,-3.042881196157423,1.4652276658684298,0.015823653425307786,0.012936668202751592,-0.04872596450063776,-0.050754752861247504,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571980098221,20.22512998207238,0.15864399152401054,
0.36,-102.84387656983085,0.01732292756768578,1.3122410700522822,-3.0250809816209525,1.3940650847232077,0.029618463290844065,0.0436315861318352,-0.03713502418321594,0.024351246571279635,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571966743824,20.225129970042673,0.2650965398834325,
0.38,-102.84380314116387,0.017369163895111166,1.3118247239344045,-3.0436793428802114,1.4431626181850792,-0.010591293799060052,0.022221644355338802,0.036550912067462867,0.011518935840284229,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571966743824,20.225129970042673,0.2650965398834325,
0.4,-118.15034533844545,0.01761930220193824,1.3125236339740447,-3.049877084365085,1.4410915949349257,0.0194894084983623,0.040588327245887144,0.012041688691257426,0.03547677679471183,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571948382174,20.22512995350241,0.41146362485133836,
0.42,-118.15039948290246,0.017991790657589123,1.3118687685818073,-3.0047611920995814,1.3870052222527494,0.031912558950055576,-0.04052231200241795,-0.03137566354249403,0.021360269628530146,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571948382174,20.22512995350241,0.41146362485133836,
0.44,-119.6155870519381,0.01762809671828114,1.3117017258358497,-3.0169374856798963,1.385427826468028,0.03320719971662495,-0.005275956659405189,0.050006742568727905,0.026268005336056024,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571924596573,20.22512993207623,0.6010669102879435,
0.46,-119.61548194996898,0.01741790110870367,1.3119707803186196,-3.000244993772843,1.3966223782781488,-0.033662315399993814,-0.023971166298334255,-0.011885020320808655,-0.01080771897265151,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571924596573,20.22512993207623,0.6010669102879435,
0.48,-121.0834052715681,0.017929177373224837,1.312177499578974,-3.0382825227610173,1.439104205167881,-0.03587315180513325,0.04367238256717094,-0.02542517967843803,-0.0036882702562950572,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571895314158,20.225129905698484,0.8344872207345662,
0.5,-121.08324956963483,0.01736145439936118,1.3120019720584282,-3.005737234724423,1.3840197652024162,0.03655924530749948,0.023235535030662544,0.0017881461597497315,0.034925026856946345,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571895314158,20.225129905698484,0.8344872207345662,
0.52,-122.55306345157925,0.017812444309247295,1.3121701512509851,-2.9812971539969757,1.4106126071262721,0.020200283079510876,0.03799059729225586,-0.009742020253888222,0.0020486582132567465,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571860461936,20.225129874303434,1.1123063812224139,
0.54,-122.55298265929432,0.01740995359125165,1.3118927755260068,-2.9548351267430384,1.4584475185709929,0.026440705691612987,0.04868419587122414,0.03775401164133217,0.03712368255130333,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571860461936,20.225129874303434,1.1123063812224139,
0.56,-124.2659172212152,0.017667572077662504,1.3120890999225945,-3.0071855894443154,1.3983097994281013,-0.04231367104237242,0.014356963949474295,-0.03418483517657539,0.02233414137969835,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571819960829,20.225129837819843,1.435154775254336,
0.58,-124.26584751121642,0.017768838333967404,1.3117857036277472,-3.018928134601704,1.4766936294535977,-0.04162064909220922,-0.015997112652026788,-0.005821167091134342,-0.029041233993650797,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571819960829,20.225129837819843,1.435154775254336,
0.6,-125.98121655637094,0.017774075580629413,1.3117497735255668,-3.0047997451801898,1.4675970093526727,0.05312946071337718,0.019087895425603435,-0.04512281932651133,-0.04481828808043762,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.85571773725653,20.22512979617097,1.8037114292248897,
0.62,-125.98182556824246,0.017307501630884275,1.3119968836694282,-2.966987730206619,1.4332929666520733,0.02424905488563618,0.03710309313696868,0.037497495920755984,0.03785224944951093,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.85571773725653,20.22512979617097,1.8037114292248897,
0.64,-126.82227328552435,0.017759680107872357,1.3117525283342333,-3.049499070035104,1.4581175212704538,0.03959853029820423,0.22609880039728658,0.011649516781355757,-0.015230178738435313,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.85571721692894,20.225129749299608,2.218482621778931,
0.66,-126.82183653557153,0.017478459775366603,1.3120732819150056,-3.0308499373681532,1.4287202215661927,0.01675600273897472,0.4315366994636247,-0.0577574295126483,0.04642960601466413,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.85571721692894,20.225129749299608,2.218482621778931,
0.68,-127.66437977781187,0.01753920894722457,1.3123438061048567,-2.971385708020229,1.3843020722083286,0.024869445325557776,0.6117593448518857,-0.05527526547236898,-0.017758470557132144,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.8557166382075,20.2251296971681,2.679801587126146,
0.7,-127.66428546624255,0.017264317200057878,1.311694651390863,-3.0260003599734673,1.427440918344522,0.0462186067323809,0.786055924417437,-0.14560312496812472,0.058339167025062776,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.8557166382075,20.2251296971681,2.679801587126146,
0.72,-128.50759433089132,0.017601208883549137,1.3121891536523773,-2.9969623750144154,1.3885921064361597,-0.044080083240743306,0.9530870563199098,-0.1479444914545789,0.05461489058503289,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.85571600067343,20.225129639738725,3.1880021360126745,
0.74,-128.50797591686742,0.017472028044793433,1.3123336835319985,-2.9517767167966307,1.396343178407299,-0.021185320209240438,1.1624283354238905,-0.14647038381049624,0.09389557683024344,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.85571600067343,20.225129639738725,3.1880021360126745,
0.76,-129.35291470818154,0.017370032161043734,1.3121500397943298,-2.987863176701559,1.4017374526691815,0.0434617472925662,1.3757297743970756,-0.21724958513830248,0.01765366320568911,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.85571530390725,20.22512957697369,3.7434186572237778,
0.78,-129.3529994169138,0.017170479833453007,1.3124426389887545,-3.025592620754306,1.4677141013233503,0.05260769524928062,1.5354654011131215,-0.21621936535219952,0.08046038840231218,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.85571530390725,20.22512957697369,3.7434186572237778,
0.8,-130.19862873651982,0.017344432182672887,1.31239925955376,-2.964299561069657,1.4759715501785786,-0.03590317166649328,1.65045776266759,-0.21111593007363125,0.10161582972265681,53342.5,11583.6,11419.2,1944.6,52069.6,9.7,77.5,67.85571454748874,20.225129508835142,4.346386119091736,
