Temps,Position en z,Acceleration en x avec g,Acceleration en y avec g,Acceleration en z avec g,Angle phi,Angle theta,Angle psi,Accelerometre 1 x (en m/s2),Accelerometre 1 y (en m/s2),Accelerometre 1 z (en m/s2),Gyroscope 1 phi,Gyroscope 1 theta,Gyroscope 1 psi,Gyrometre 1 phi,Gyrometre 1 theta,Gyrometre 1 psi,Magnetometre 1 F (en nT),Magnetometre 1 H (en nT),Magnetometre 1 X (en nT),Magnetometre 1 Y (en nT),Magnetometre 1 Z (en nT),Magnetometre 1 Declinaison (en deg),Magnetometre 1 Inclinaison (en deg),GPS 1 Latitude (en deg),GPS 1 Longitude (en deg),GPS 1 Altitude (en deg)
0.0,-0.0,-6.81729357213145e-17,-1.367341682590657,9.729141608459434,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-9.73652809962404,0.043519120486749,1.3201308819082236,-3.027036362870493,1.4426020661004988,-0.0053708122147209,-0.0827716918042142,0.0893699353321392,0.0702147275143799,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0
0.02,0.0,-6.81729357213145e-17,-1.367341682590657,9.729141608459434,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-9.735925719379496,0.0427047820136204,1.3142715713937787,-3.026197839082534,1.4586191491601337,-0.0004484810599829,0.0010050635789679,0.0236552772598547,0.0898999252718619,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0
0.04,0.0,-6.81729357213145e-17,-1.367341682590657,9.729141608459434,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-9.733211904442836,0.0382744265757549,1.3171241200774004,-3.0281935067195254,1.454670707834156,-0.0010126026403901,0.0433973003326341,0.0977225961874193,-0.0867681813086849,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0
0.06,0.0006113729580661,-6.817293570821956e-17,-1.3673416823280118,12.815010799336983,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-9.738609822475876,0.0379174482971545,1.3246728127011078,-3.0123324973225016,1.4487728415913026,0.0018096208732016,-0.0035608194081028,0.0500726737202463,-0.0816377206694614,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0
0.08,0.0044320573940776,-6.817293562638452e-17,-1.36734168068665,22.84518870120791,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-9.734028909596136,0.0389914793681644,1.3148143111110582,-3.0196934639442783,1.456189914741083,-0.0047473221241177,0.0821564915267852,0.0660591896970384,-0.0863003674197696,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0
0.1,0.0156640220199531,-6.817293538580763e-17,-1.3673416758614096,34.03532204232874,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-9.741714648450296,0.0426785445846063,1.3218429040579245,-3.0230428616201754,1.4531240784566883,-0.0022121433469553,-0.0312199004484494,0.0718406889842657,0.0839431056968196,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0
0.12,0.0404019118688159,-6.817293485594803e-17,-1.367341665234038,53.62214912589184,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-12.82534226223726,0.0423283238865617,1.3147597102043174,-3.015356791927821,1.4452961272978788,-0.003853767808568,-0.0013769600165635,0.0277833843281306,0.0172911405319555,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999923228,20.225129999930843,0.0006119845348831
0.14,0.0858070632364892,-6.817293388341743e-17,-1.367341645728033,70.20518344063902,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-12.82613926062002,0.0352880873639402,1.315390664890466,-3.0180866585174506,1.4519314251447708,0.0017455660569845,0.0735279514753149,-0.0383816992139195,-0.0082017203038033,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999923228,20.225129999930843,0.0006119845348831
0.16,0.1584501716125731,-6.81729323274784e-17,-1.3673416145206296,86.81054748308546,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-22.873139895886464,0.0320509171300946,1.31965748853367,-3.023001668297011,1.4480223147896385,0.009161105066276,0.0922032073121114,-0.006142145297411,-0.0383575808934085,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999443363,20.225129999498577,0.0044371542224421
0.18,0.2647773950016087,-6.817293005006105e-17,-1.3673415688425663,102.76400691342408,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-22.86967968607658,0.0411576502950687,1.3230027837167595,-3.02815609295836,1.4582762721757825,-0.0041292681530253,-0.0287591481029268,0.0426491819126776,0.0073743757597884,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999443363,20.225129999498577,0.0044371542224421
