Temps;Position en x;Position en y;Position en z;Vitesse en x;Vitesse en y;Vitesse en z;Vitesse globale;Accélération en x;Accélération en y;Accélération en z;Angle phi;Angle theta;Angle psi;Quaternion q0;Quaternion q1;Quaternion q2;Quaternion q3;Vitesse angulaire dphi;Vitesse angulaire dptheta;Vitesse angulaire dpsi;Accélération angulaire d2phi;Accélération angulaire d2ptheta;Accélération angulaire d2psi;
46.5;-2115.0871408533158;-255.3347388138515;5349.613409682228;125.14863049749445;0.05246240891787626;0.3206298322054703;125.14905635477389;0.3819769032734681;0.0662488368742379;-0.015609106518012308;1.8974742025656088;-1.2919984708998518;-3.0084312777775333;-0.5190944351525468;0.30683356314778204;0.6708137589667298;0.431705284809116;-0.4983606280142891;0.0051161880242232335;0.008122478030168212;0.021286479284699834;-0.002359942271200199;-0.0004898212355181398;
46.550000000000004;-2116.797369025095;-255.54794186711095;5343.5902126246965;125.5299677131171;0.12022206666808816;0.296445152608656;125.53037985260653;0.3814631051010051;0.06778179269579958;-0.024190768195742514;1.8728107875916036;-1.2924417505844237;-3.0081888258421885;-0.5154621752777387;0.3132428025157083;0.6653777896003698;0.439794294142062;-0.47965606152679413;0.002945373978228953;0.007943420243887282;0.018711369088987066;-0.0021715770878847646;-0.00017918939716646766;
46.6;-2118.506341583514;-255.76148144421396;5337.546862869945;125.9107766149759;0.18748639462887262;0.26495091529342246;125.91119969759238;0.38093462022260177;0.06728677047189224;-0.031503049057665614;1.8493116162866843;-1.292853016812707;-3.00826419639023;-0.5118556286959753;0.3194078223912933;0.6600611717018788;0.4475183527234251;-0.4640845507915516;0.0010137531519372634;0.008089092736261705;0.015577399482672762;-0.0019323159666759277;0.00014564553725420393;
46.650000000000006;-2120.2141754526892;-255.97535535751823;5331.483427088743;126.29104602115041;0.2521820055534742;0.2276830708089457;126.29150771219345;0.3803949488232895;0.06471768153388645;-0.03727892992241343;1.8267873857860706;-1.2932558005467418;-3.0086350822520265;-0.5082640552458242;0.3253780544907012;0.654830344254235;0.45493571560719226;-0.4520759822730042;-0.0006382103178356948;0.008562175509981068;0.012013370558944882;-0.001652574819191443;0.00047316405297174416;
46.7;-2121.9209876925834;-256.1895461442113;5325.399971389854;126.67076940515045;0.31227280582835093;0.18638132456346074;126.67129577986285;0.37984874764649534;0.060111812562057276;-0.04131457301516734;1.8050192398739242;-1.293673169802523;-3.009267051632976;-0.5046720588855991;0.331205614657869;0.6496442282335927;0.4621091814078944;-0.4439135979598891;-0.0019823796249419548;0.009353378313865226;0.008165971487814686;-0.0013446846336833676;0.0007913920088892074;
46.75;-2123.626890997416;-256.40402254655845;5319.296560118405;127.04994535043274;0.36584228896626075;0.14291034147643283;127.05055623122547;0.3793011282750904;0.05358877153064047;-0.04348495848966517;1.7837685940864911;-1.2941268680175742;-3.0101158072862058;-0.5010604151504663;0.3369431798080577;0.6444562107444772;0.46910348299131593;-0.4397222648106819;-0.003004370123231262;0.010441553688755581;0.004193627360888734;-0.001022401822544103;0.0010884682164978969;
46.800000000000004;-2125.331989388045;-256.6187415384846;5313.173254730996;127.42857720848396;0.41116977318679926;0.09916869359939141;127.42928220604023;0.37875686044874746;0.045344430895623816;-0.04375614642662437;1.7627876737487254;-1.2946365232712402;-3.011129761947314;-0.4974070529122854;0.3426418625752787;0.6392163618788582;0.47598261372160117;-0.43946391350150815;-0.003704321416557455;0.011794358235926906;0.0002593277340730681;-0.0007002553036428456;0.0013531928509432404;
46.85;-2127.036374266581;-256.833650784726;5307.030112789683;127.80667199559927;0.44679655838209364;0.056990874166947106;127.80746794060092;0.3782196104898529;0.03564084449096459;-0.04219221404571168;1.7418302459802484;-1.2952190808780129;-3.0122527823926197;-0.49368813785219257;0.3483491751195091;0.6338737690404697;0.4828072050306011;-0.44294080003552905;-0.004096886086782095;0.01336940475598039;-0.003477198697097576;-0.00039276290658483233;0.0015755184993193805;
46.900000000000006;-2128.740120987057;-257.04869140157524;5300.867187113916;128.18423869311454;0.47157930757809086;0.018049247302730023;128.1851089389382;0.37769134451358655;0.024793468320254863;-0.03895532174084332;1.7206620187962758;-1.2958879961747387;-3.0134269675154086;-0.48987920456084816;0.35410717629988336;0.628378871229285;0.4896320818769669;-0.44980677160839233;-0.004210360188421567;0.015115820362455063;-0.006867490991705598;-0.00011357286854646467;0.0017469562906001206;
46.95;-2130.4432860751585;-257.2638008776559;5294.684525124497;128.56128622193972;0.4847293835791365;-0.016236348062867702;128.5622020023587;0.3771720025531484;0.013157111289715825;-0.03429805814720262;1.6990702018285135;-1.2966530930301954;-3.014595342894604;-0.4859562856384611;0.35995089345398756;0.6226856796413395;0.4965041252089393;-0.4595861774143799;-0.0040849539318821414;0.016976111698993383;-0.009782003551150931;0.00012539626631996798;0.001860883123927725;
47.0;-2132.145905203392;-257.4789160095808;5288.482168406654;128.93782142348715;0.4858381206105518;-0.04477366077989356;128.93874511237607;0.3766595048769495;0.0011118654818592158;-0.028548103312166315;1.6768717727680267;-1.2975200570775798;-3.0157043721662884;-0.4818969887482326;0.36590710029218737;0.6167537798943875;0.5034605624068751;-0.4716995080285408;-0.0037702828316647044;0.018888237981192095;-0.012116837166617482;0.00031473546367608723;0.001912749584378992;
47.050000000000004;-2133.8479919964407;-257.69397571086006;5282.260152510378;129.3138473833466;0.4748888641964283;-0.06685106077854125;129.31473718453302;0.3761500947734895;-0.010950130221067958;-0.022086193569540922;1.6539200684446245;-1.2984904546585336;-3.016706201769895;-0.47768147572450065;0.3719935156281363;0.6105500241495938;0.5105277867556169;-0.4854943311931586;-0.003322239190982861;0.02078780268972911;-0.013799037535309054;0.0004481651092974778;0.0019001986528919353;
47.1;-2135.5495377061598;-257.90892356282666;5276.0185069956115;129.68936237772672;0.4522569605631253;-0.08216368516543797;129.6901777299798;0.3756389614645689;-0.02263674487512242;-0.015319226415270556;1.6301094149456952;-1.2995616064029634;-3.0175605692249494;-0.47329330142734816;0.37821846444267493;0.6040498374651452;0.5177207758570638;-0.5002796724513916;-0.0027994702830067067;0.022610290147949966;-0.014790041695476945;0.0005229284983881875;0.0018231106212298637;
