Temps,Accelerometre 1 x (en m/s2),Accelerometre 1 y (en m/s2),Accelerometre 1 z (en m/s2),Accelerometre 2 x (en m/s2),Accelerometre 2 y (en m/s2),Accelerometre 2 z (en m/s2),Accelerometre 3 x (en m/s2),Accelerometre 3 y (en m/s2),Accelerometre 3 z (en m/s2),Gyroscope 1 phi,Gyroscope 1 theta,Gyroscope 1 psi,Gyroscope 2 phi,Gyroscope 2 theta,Gyroscope 2 psi,Gyroscope 3 phi,Gyroscope 3 theta,Gyroscope 3 psi,
0.0,-9.722432020856743,-0.007361532398805959,1.3516396693218895,-9.732354622480853,-0.01865088948111689,1.4197817497243994,-9.731212195721222,-0.06910354836075307,1.3477172061619835,-2.976874438598338,1.41285036341896,-0.026000802631875406,-3.079974297013324,1.3924753095554814,0.004645959368518488,-3.0647779407126694,1.4534579836221349,-0.024436630563511887,
0.02,-9.721931628315614,-0.0015179516413333758,1.3549452950575622,-9.736019074594449,-0.01618426797728996,1.4194478525669207,-9.72627120479231,-0.07345656171702762,1.3379923857192448,-3.0445634783746183,1.4678536552589743,0.04464881550071133,-3.017749033592865,1.3590370410630175,-0.02149118360396128,-3.0512720980733796,1.4308696912991055,0.03599922662721023,
0.04,-9.721317632892044,-0.008425808479561283,1.3623742523867233,-9.738182631757558,-0.016741183031368123,1.4225165909561757,-9.733043562233684,-0.07456182390444802,1.3355555515496447,-2.9690343739098672,1.4548896631481358,0.025552162024425545,-3.0259860845884203,1.362614333198442,-0.0694120872857905,-3.032636986835309,1.4206700215841972,-0.008890929832598498,
0.06,-9.729695453202806,0.0021050032899127963,1.3480882011361397,-9.73954890341571,-0.016310249140049846,1.425087706317963,-9.73672263715123,-0.06962270063933097,1.344457336109887,-3.0544031691625637,1.403459061177269,-0.0325119727034293,-3.0763540334254733,1.40433192775565,-0.05982779921215954,-3.052061132564929,1.409899287798873,-0.035808122487859424,
0.08,-9.721538345822541,-0.006044136288764631,1.3548380656231018,-9.73447369691457,-0.00738986203456176,1.4148936955763567,-9.737902472787594,-0.07413264367622295,1.3449188366943394,-3.0675001999703615,1.4779881722706119,0.04804969982879545,-3.1012724824773685,1.3887119798931447,0.02168328082412239,-3.0516522854158645,1.46676486598892,0.019356166448665568,
0.1,-9.722412527905114,-0.007358578975352389,1.3488046154546935,-9.736880859276216,-0.017536780995010395,1.4152797794905663,-9.740368734656052,-0.07154318834579793,1.3432591023821798,-3.0429074290375024,1.4350110844565749,0.0025309390949319194,-3.0461936521429784,1.3620995196101515,-0.07382834868151301,-3.053937135024773,1.4647446960831323,0.05044923196644316,
0.12,-12.81659240443735,-0.003975564002003737,1.3529817560606574,-12.82175880701615,-0.012265567714367135,1.4220908637683132,-12.819424356103584,-0.06296369363752005,1.3484193368546007,-3.0382339921674655,1.3799765129494075,-0.020591415449985842,-3.0272622808240035,1.4670984219076102,-0.024560196012160453,-2.9712891816098232,1.3945408986630046,0.015367365856438544,
0.14,-12.808923737330149,-0.0010543717103218156,1.362537134414652,-12.826609171354459,-0.012122245323744209,1.412825779138788,-12.826204852688463,-0.06274616865890165,1.3377031883951955,-3.0050368178792204,1.435421247824689,0.027090181790260192,-3.020629568150743,1.4655413976800267,-0.08171785717034923,-2.975219093765635,1.4823450907292846,0.0329707962283549,
0.16,-22.86047622345086,0.0007069906493713104,1.3517835951701156,-22.867227261367635,-0.013441413694340805,1.4179188978630188,-22.86571712533071,-0.07302718802763072,1.3469854448483938,-3.0716792440364538,1.3729558341154202,-0.03767268782143479,-3.0403220589686346,1.4684200633622626,0.02520525995769744,-3.0652226702087497,1.4196974700150606,-0.020196007008491237,
0.18,-22.862963367040813,-0.006689599994883718,1.3543778811106604,-22.863568143747234,-0.019122053736824844,1.4193128025332298,-22.873411993142224,-0.06745666800291082,1.3456218517349559,-3.044791435955301,1.4406770974793068,0.026192654148939006,-3.067177774673058,1.4340065685915586,-0.05786881841688102,-3.0179512090920904,1.3960691566543169,0.030505008476310255,
0.2,-34.05908343674164,-0.008370408376279493,1.3548065387597814,-34.074496347871516,-0.011743890383444758,1.4168180447989855,-34.059135970518085,-0.07363503113638731,1.3493967597779868,-3.053100748120726,1.4615777168718473,0.03888507806880037,-3.0971875423881285,1.4594046520027446,-0.05547465307569151,-3.0344021635305736,1.431508787809606,-0.006521082053360363,
0.22,-34.050443340287956,-0.0011106181498126548,1.3504655844693438,-34.07021198753087,-0.010002730858863535,1.4130561490493114,-34.06705797919969,-0.0629090140915317,1.343083597911415,-2.9884055275950274,1.3857613385331244,-0.034660345462608246,-3.0660841475162233,1.3865234711845653,-0.07806484522632574,-2.9764972960368516,1.4211305605776186,-0.015860316870617744,
0.24,-53.66951655795819,-0.0028242240174487874,1.351772764700246,-53.68292759669649,-0.007741541520699046,1.4158052510162367,-53.676736667473996,-0.06323740661795531,1.338638355135565,-3.0573341232605813,1.374166649196056,0.043498045368869476,-3.0166311749851613,1.4685800748721933,-0.07562923380350813,-3.000737332792699,1.4215632032691048,-0.040704449989940626,
0.26,-53.67122909231048,-0.0006947082918930302,1.3548180947569919,-53.678394023754976,-0.008343594141230329,1.4152105190710416,-53.68670714583749,-0.06873375348272702,1.3403785915785407,-3.0371961935802805,1.392476767927476,0.035091193628988646,-3.0442385393597453,1.44609334676988,-0.007861478505726733,-3.009102375527141,1.4803847656793223,0.04201663646956826,
0.28,-70.25153816758261,-0.002279887081811274,1.3539647041662417,-70.26857415278499,-0.017827733105915764,1.4136245264248877,-70.27471230209127,-0.07541024380369213,1.343562384282265,-3.0649347736565056,1.480930768874779,-0.008763736083827562,-2.9809774149838444,1.4714501302570224,-0.057955629040923745,-3.034685098058132,1.4578443457634704,0.0468427079282809,
0.3,-70.25445622426852,-0.004951178582178202,1.3553286454891775,-70.26829766752952,-0.010960711869266181,1.42251303209708,-70.27492663205253,-0.06979993196921197,1.3428869850793297,-2.9797018524235717,1.4401265683288669,-0.045402368468838036,-3.053163066464714,1.4297399012992766,0.03187835005279119,-3.0370264901067956,1.4729806657098472,0.040434051656968915,
0.32,-86.87956705637328,-0.0027243889799406663,1.3507239212879774,-86.88986655743932,-0.014986498321804752,1.4248813435387633,-86.88991872240307,-0.06870660246525816,1.3440129180459064,-2.985762359719467,1.4317645458024997,0.036958430495293904,-2.9811102205826825,1.4545912716538714,0.03881115959263794,-3.009052602336161,1.4784229288396935,0.04686911673984989,
0.34,-86.87865381843383,-0.009104626186016856,1.3611733668166222,-86.88259324074106,-0.01725848822230303,1.414344001142323,-86.88191584527074,-0.07022531197924799,1.3372964461242531,-3.0455239307465276,1.4544177389260462,0.032470521975618075,-2.9710845039138136,1.3450242400645442,0.021028613019046346,-3.0317939706255386,1.4575305179838964,0.01189386201876369,
