Temps,Accelerometre 1 x (en m/s2),Accelerometre 1 y (en m/s2),Accelerometre 1 z (en m/s2),Accelerometre 2 x (en m/s2),Accelerometre 2 y (en m/s2),Accelerometre 2 z (en m/s2),Accelerometre 3 x (en m/s2),Accelerometre 3 y (en m/s2),Accelerometre 3 z (en m/s2),Gyroscope 1 phi,Gyroscope 1 theta,Gyroscope 1 psi,Gyroscope 2 phi,Gyroscope 2 theta,Gyroscope 2 psi,Gyroscope 3 phi,Gyroscope 3 theta,Gyroscope 3 psi,
0.0,-9.759106049826812,-0.021841823708677707,1.3750583284539526,-9.733102027121719,0.00244691782997824,1.3600803599566356,-9.716846746391424,0.0073721011171530414,1.3355208521292579,-3.081772438332245,1.4868300012326163,-0.017744736993902804,-2.9433768489118592,1.5280771829022994,-0.07534171968676108,-2.953195415628056,1.4127582968858574,0.01653153622033393,
0.02,-9.75621312681141,-0.024308444169079846,1.37562919990582,-9.731599920853517,-0.002183225891051821,1.3694831403398484,-9.725199227728673,0.00024992731211501314,1.3323540267675706,-3.02939140234547,1.3907737543014818,0.0010720419194633222,-3.0207612857860084,1.4241649980239182,-0.0514383790248844,-3.0443802454301037,1.3932275716576796,-0.04136716461096164,
0.04,-9.76636095169644,-0.009777739684951714,1.378084175020464,-9.733031712976286,-0.004046188041219592,1.365080473631387,-9.716922292016513,0.0062079928335903155,1.328511237559927,-2.99103759273402,1.4876743845432194,-0.03348400716964534,-2.9961944635631284,1.493628577458191,-0.02958619960922631,-3.0073711954699793,1.471973409317656,-0.034916574207670185,
0.06,-9.75672092255568,-0.014441163188504812,1.3748293749041767,-9.728148161025002,0.006390092216384004,1.370954088756361,-9.706625379468226,0.013744913841767365,1.3318051873433183,-3.070992632550124,1.4923867675402809,0.004819781577383319,-3.086757521384009,1.4344089889257883,-0.08298378321554677,-3.0742693357640096,1.377055031927488,0.021386672866580095,
0.08,-9.754461779964187,-0.019652520121125235,1.3792787258872359,-9.729541338622596,0.004401500012614933,1.3591094368106065,-9.720636521366794,0.0068123695625934635,1.3260233600433216,-3.0108668398282394,1.3920596050912624,-0.008447109962373576,-2.9767373484917594,1.476430450828996,-0.030874896630068045,-3.002452605908403,1.35932769792453,-0.004026934325687435,
0.1,-9.768667620090703,-0.0144230355947218,1.3744976679767051,-9.728872665204477,-0.007722335487875509,1.368186273492652,-9.716539463365704,0.0006590680814961194,1.3226973536829474,-3.0864305172423783,1.4344763442532842,-0.0666683483926039,-3.0197640486500665,1.349592407890827,-0.06108426394848257,-3.079429231361202,1.4129808448537418,0.012209497813243337,
0.12,-12.843233074453028,-0.02379750424474956,1.372291660446974,-12.815250693395136,-0.007812748040064385,1.3717486528293266,-12.810631347925872,0.01850605768148377,1.334016520877454,-3.0141072535249855,1.4631370385985312,0.04071270629310165,-3.079214255793383,1.512095699441724,0.02971990035125042,-2.990991313128402,1.433455162079039,-0.07280198129015969,
0.14,-12.843586897919476,-0.01892694793826445,1.3850033559392054,-12.816872277276007,0.008100090627730204,1.365737470489126,-12.811520330336306,0.005156288115413503,1.3392869042080255,-3.067157967382343,1.4038111213128295,-0.06485657571085741,-3.114342719450902,1.4167749174195676,0.0717051020395024,-3.0727343206484536,1.398825601475911,-0.026839438774201592,
0.16,-22.8871056372588,-0.025361896939170542,1.3855857606735595,-22.862544524608044,0.0077581904119625915,1.3692441977633247,-22.846106111564197,0.0007228884371348904,1.3373644237654445,-3.06039213210496,1.3938562894978024,-0.05904780799082977,-2.936620030275238,1.386935165343494,0.016363531260986348,-3.0002711187235738,1.435073293738685,0.024513567898323714,
0.18,-22.903102051441017,-0.010766638890783262,1.3823723241935817,-22.858678585862897,-0.004772949955529857,1.37009904848638,-22.857593224673504,0.014513423150089844,1.3295906020665245,-2.969912214229814,1.4912584766187125,-0.03338222014772152,-3.0790915324261583,1.4979550243788797,0.059729150127741104,-3.0029617611827732,1.3648061083067196,-0.06767306657374336,
0.2,-34.09833663576327,-0.013380271333173481,1.38605918421386,-34.070438189922406,0.007617094999638627,1.370868216839331,-34.043325623343385,0.0052141026932759375,1.3390113143868736,-3.058391940933704,1.4859291121135454,-0.04164914507376977,-2.9290847640949056,1.408358551911979,0.05509115872270443,-2.9825993824265282,1.3603080217289374,0.025248364353008947,
0.22,-34.08727008145782,-0.009772300870772311,1.386974399669592,-34.06993586216871,-0.0018059571818913325,1.3648512192844917,-34.05759219433339,0.0120373470894383,1.3290455002832722,-3.04571936323441,1.3569826796988749,-0.025995666891006092,-3.056425368719976,1.333601254742098,0.09424814610146091,-3.090555818897021,1.467582286570884,0.020340588623981998,
0.24,-53.704229305057815,-0.0241895876772355,1.3736333095302247,-53.679471053806374,0.00553392674381982,1.3703168979661775,-53.66056584886585,0.0031356306997226456,1.3306783051341617,-2.9475242222186693,1.4020776078383907,0.039280114169651485,-3.1121765064659135,1.432599914080859,-0.09422867921032907,-3.0619989858945327,1.4474483577719393,-0.07396595407318009,
