Temps	Accelerometre 1 x	Accelerometre 1 y	Accelerometre 1 z	
0,0	-9,656622062249873	-1,1856840997186524	1,367341682590657	
0,010003032140691329	-9,656622062249873	-1,1856840997186524	1,367341682590657	
0,020006064281382657	-9,656622062249873	-1,1856840997186524	1,367341682590657	
0,030009096422073986	-9,656622062249873	-1,1856840997186524	1,367341682590657	
0,040012128562765314	-9,828086018592169	-1,1856840997218134	1,3673416825943023	
0,05001516070345664	-12,746626717978112	-1,1856840997851015	1,3673416826672866	
0,06001819284414797	-15,667674032500102	-1,1856841000161713	1,3673416829337586	
0,0700212249848393	-22,790520957892582	-1,185684100600187	1,367341683607251	
0,08002425712553063	-29,91949069311088	-1,1856841017998878	1,3673416849907567	
0,09002728926622196	-33,98980849955691	-1,1856841038217372	1,3673416873223716	
0,10003032140691329	-43,7926889591008	-1,1856841069214943	1,3673416908970397	
0,11003335354760461	-53,604006932244715	-1,1856841114607557	1,3673416961317573	
0,12003638568829594	-61,894681448698165	-1,1856841177732402	1,367341703411372	
0,13003941782898726	-70,19249808745684	-1,1856841261647637	1,367341713088553	
0,1400424499696786	-78,4974661015871	-1,1856841369414066	1,3673417255162756	
0,15004548211036992	-86,80959476014775	-1,1856841504095126	1,3673417410478177	
0,16004851425106126	-95,12889334822408	-1,1856841668756892	1,3673417600367623	
0,1700515463917526	-102,77268311509734	-1,1856841866342236	1,3673417828224839	
0,18005457853244392	-110,42307204462662	-1,1856842099670715	1,367341809730136	
0,19005761067313523	-118,08006870494236	-1,1856842371564305	1,3673418410851519	
0,20006064281382657	-118,81276295366706	-1,1856842683569693	1,367341877065897	
0,21006367495451791	-119,54609064426255	-1,1856843035957139	1,3673419177035375	
0,22006670709520923	-120,2800526001661	-1,185684342899715	1,367341963029269	
0,23006973923590054	-121,01464964624364	-1,1856843862960456	1,3673420130743121	
0,2400727713765919	-121,74988260879192	-1,1856844338118033	1,3673420678699157	
0,2500758035172832	-122,48575231554236	-1,1856844854741082	1,3673421274473554	
0,2600788356579745	-123,34226461347441	-1,1856845413123167	1,367342191840485	
0,27008186779866583	-124,19951932545686	-1,1856846013580224	1,3673422610857386	
0,2800848999393572	-125,05751741911494	-1,1856846656428477	1,3673423352195837	
0,2900879320800485	-125,91625986375843	-1,1856847341984402	1,3673424142785162	
0,30009096422073983	-126,33686335210895	-1,1856848070483867	1,3673424982897366	
0,31009399636143115	-126,75783208398224	-1,1856848842082006	1,3673425872711356	
0,3200970285021225	-127,17916653620436	-1,1856849656934108	1,3673426812406206	
0,33010006064281383	-127,60086718643242	-1,185685051519559	1,3673427802161149	
0,3401030927835052	-128,02293451315572	-1,1856851417021999	1,3673428842155564	
