Temps	Accelerometre 1 x (en m/s²)	Accelerometre 1 y (en m/s²)	Accelerometre 1 z (en m/s²)	Gyroscope 1 phi	Gyroscope 1 theta	Gyroscope 1 psi	Gyrometre 1 phi	Gyrometre 1 theta	Gyrometre 1 psi	Magnetometre 1 F (en nT)	Magnetometre 1 H (en nT)	Magnetometre 1 X (en nT)	Magnetometre 1 Y (en nT)	Magnetometre 1 Z (en nT)	Magnetometre 1 Declinaison (en deg)	Magnetometre 1 Inclinaison (en deg)	GPS 1 Latitude (en deg)	GPS 1 Longitude (en deg)	GPS 1 Altitude (en deg)	
9,52271922307912	-58,11481830084018	16,59159391674069	-1,357336592958738	3,187803971514459	1,5820676844906174	0,35172378560305056	1,008966597632415	0,06940484306612969	-0,019523560276306036	53321,1	11580,3	11416,2	1942,9	52048,4	9,7	77,5	67,85337068462084	20,225139595425112	936,5367013531331	
9,542724935732648	-57,85689962623893	16,546043477059957	-1,388828001332532	3,2941874795675092	0,8481056770262965	-0,12179039770411632	1,0080796215475227	-0,07859108301350995	-0,10504850334266058	53321,1	11580,3	11416,2	1942,9	52048,4	9,7	77,5	67,85337068462084	20,225139595425112	936,5367013531331	
9,562730648386177	-58,74471063171902	15,581579733641028	-2,634597061464065	2,794761579349981	1,389668464013843	0,4056779075034005	1,0203746434547065	-0,0490700040167506	0,015047882034711066	53321,0	11580,3	11416,1	1942,9	52048,3	9,7	77,5	67,85334947119796	20,22513983584015	943,8411561059843	
9,582736361039704	-58,76633178764056	15,372878395708645	-2,357699891059289	3,2280566956948893	1,73389330918091	0,6971084314445419	0,9578619819073468	-0,04485846697696105	-0,03267864430787018	53321,0	11580,3	11416,1	1942,9	52048,3	9,7	77,5	67,85334947119796	20,22513983584015	943,8411561059843	
9,602742073693232	-59,27042100442669	14,324207726590807	-3,349357620052155	3,0254001899259797	1,2051696314897788	0,8794585922581103	0,8652462600348911	0,0803832442725583	0,09126478689474653	53320,8	11580,3	11416,1	1942,9	52048,1	9,7	77,5	67,85332818426409	20,225140076544186	951,1638814342053	
9,622747786346759	-59,567921427969125	14,3173596387391	-3,3146532691044217	3,506249105859336	1,0662282999673585	0,2164637038100341	1,0498478652837941	0,07662008492563345	0,0176447282557525	53320,8	11580,3	11416,1	1942,9	52048,1	9,7	77,5	67,85332818426409	20,225140076544186	951,1638814342053	
9,642753499000287	-58,325255162789	13,013557287697962	-3,665956890353812	2,9283293252195346	1,2400120138815538	0,09163340197750564	0,9254658056843903	0,0543620268113445	-0,059198656595925055	53320,6	11580,2	11416,1	1942,9	52047,9	9,7	77,5	67,8533068241338	20,225140317307023	958,5048444154625	
9,662759211653814	-58,588360702287424	13,054708335771933	-3,8567700513250736	3,415458534635226	1,1405090287820219	-0,04483155243264453	0,8748322192623231	0,001260785356583465	0,05954929518168312	53320,6	11580,2	11416,1	1942,9	52047,9	9,7	77,5	67,8533068241338	20,225140317307023	958,5048444154625	
9,682764924307342	-57,78766867598689	12,182839232908956	-3,9110798595386305	3,4961724804387173	1,10879588758204	0,6684831404263121	0,8803204765218774	-0,09282618684960636	-0,09402075265919649	53320,5	11580,2	11416,1	1942,9	52047,8	9,7	77,5	67,85328539225026	20,22514055801374	965,8637094003822	
9,702770636960869	-57,74072634262108	12,127024641400535	-3,986719454443452	3,5544934449438603	1,5721947444786366	0,4561096042248903	0,9564669697753253	-0,09575941988149278	-0,06646991259215039	53320,5	11580,2	11416,1	1942,9	52047,8	9,7	77,5	67,85328539225026	20,22514055801374	965,8637094003822	
9,722776349614398	-56,5549186776768	10,955991957698922	-4,085950896314824	2,943289371906784	1,399756595191953	0,7011301833778605	0,9750737481875106	0,0854386238451713	0,04523986578413706	53320,3	11580,2	11416,1	1942,9	52047,6	9,7	77,5	67,85326389020143	20,225140798687978	973,2401273053646	
9,742782062267924	-56,41088010684936	11,027517052638776	-3,993345555843302	3,5908335912361404	1,1697751365234312	0,689085727780308	0,9606794093365439	0,06935396062564736	0,0074375171235229786	53320,3	11580,2	11416,1	1942,9	52047,6	9,7	77,5	67,85326389020143	20,225140798687978	973,2401273053646	
9,762787774921453	-55,29603324770774	10,309445868238722	-4,154262020321712	3,4650792772609775	1,3308812417481883	0,5538809629009498	0,9477943234416466	0,05295568050307532	0,081708484722715	53320,1	11580,2	11416,0	1942,8	52047,4	9,7	77,5	67,85324231973271	20,225141039488943	980,6337163819732	
