Temps,Position en z,Acceleration en x avec g,Acceleration en y avec g,Acceleration en z avec g,Angle phi,Angle theta,Angle psi,Accelerometre 1 x (en m/s2),Accelerometre 1 y (en m/s2),Accelerometre 1 z (en m/s2),Gyroscope 1 phi,Gyroscope 1 theta,Gyroscope 1 psi,Gyrometre 1 phi,Gyrometre 1 theta,Gyrometre 1 psi,Magnetometre 1 F (en nT),Magnetometre 1 H (en nT),Magnetometre 1 X (en nT),Magnetometre 1 Y (en nT),Magnetometre 1 Z (en nT),Magnetometre 1 Declinaison (en deg),Magnetometre 1 Inclinaison (en deg),GPS 1 Latitude (en deg),GPS 1 Longitude (en deg),GPS 1 Altitude (en deg)
0.0,-0.0,-6.81729357213145e-17,-1.367341682590657,9.729141608459434,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-9.727695667125548,-0.069832908012535,1.3365304853789746,-3.0076743990014263,1.4393145302078918,0.0118277328677003,-0.0287316721882809,0.0160706760073986,0.0264954818089283,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0
0.02,0.0,-6.81729357213145e-17,-1.367341682590657,9.729141608459434,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-9.727947179276317,-0.0690016213587321,1.3352660908958427,-3.022961668690261,1.467975269396314,-0.0393134073535341,0.0002398985637234,0.0026146204282893,0.0116508728592748,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0
0.04,0.0,-6.81729357213145e-17,-1.367341682590657,9.729141608459434,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-9.72780937005565,-0.0687248268030868,1.3361558275732797,-3.014828384857713,1.4830731962157595,-0.0820602005502316,0.0222401936997755,0.015541318285869,0.0316626073460695,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0
0.06,0.0006113729580661,-6.817293570821956e-17,-1.3673416823280118,12.815010799336983,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-9.728454537683602,-0.0690899547147716,1.3355628498907364,-3.077202032008304,1.4352352371116002,-0.0145989001196902,0.0275374955200485,0.0094117204686867,0.0064485733372139,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0
0.08,0.0044320573940776,-6.817293562638452e-17,-1.36734168068665,22.84518870120791,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-9.728012798979064,-0.0693506225694458,1.336267070151386,-3.0772878133932804,1.3894114347132087,-0.0315858907802777,0.0252789848616054,0.0227985782738371,-0.013275092628491,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0
0.1,0.0156640220199531,-6.817293538580763e-17,-1.3673416758614096,34.03532204232874,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-9.727796972612772,-0.0685207995879319,1.335421521489654,-2.955213520854334,1.4805363563780145,-0.0085458224316652,-0.0392492598938187,0.0362438019991982,-0.0102975365788369,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85572,20.22513,-0.0
0.12,0.0404019118688159,-6.817293485594803e-17,-1.367341665234038,53.62214912589184,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-12.817224480974556,-0.0693095310506782,1.3369034817166203,-3.0426365559924218,1.4118186299523987,-0.0459943482960869,0.0194359071605464,-0.0231587843337667,-0.0340686970510848,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999923228,20.225129999930843,0.0006119845348831
0.14,0.0858070632364892,-6.817293388341743e-17,-1.367341645728033,70.20518344063902,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-12.817557747132252,-0.0686502374949825,1.3354627974690336,-3.080741102454775,1.3661212073064508,-0.0146997819218762,-0.0404182392785664,-0.0315335904439428,-0.0209142358694861,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999923228,20.225129999930843,0.0006119845348831
0.16,0.1584501716125731,-6.81729323274784e-17,-1.3673416145206296,86.81054748308546,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-22.861012370647963,-0.0685453217914975,1.336218809734697,-2.9787080808304918,1.4489775389653936,-0.0637145062291253,-0.0129720980989025,0.0106483700193186,-0.0374785038549213,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999443363,20.225129999498577,0.0044371542224421
0.18,0.2647773950016087,-6.817293005006105e-17,-1.3673415688425663,102.76400691342408,-3.01941960595019,1.4311699866353498,-4.9858010319812314e-17,-22.861897092278333,-0.0683210231430894,1.3354865795505184,-2.9830064476324067,1.3906105872922512,-0.0434554307816082,0.0026771121938445,0.0019877597808436,-0.0427061225790288,53342.6,11583.6,11419.2,1944.7,52069.7,9.7,77.5,67.85571999443363,20.225129999498577,0.0044371542224421
